selected,project,is_fork,stars,forks,watchers,commits,authors,loc,locJava,authorTotal,jmhTests,jmhAuthors,score,name
YES,92619869,0,0,0,1,13,1,4273,3949,1,16,1,88.8784,SeanPMiller/containers
YES,14196519,0,0,0,1,28,1,795,699,1,18,1,40.068,victor-cr/threadlocal-benchmark
NO,39890085,1,0,0,1,39,6,7204,7080,6,26,2,4382.9136,voidException/java-8-lambdas-exercises
NO,37694723,1,1,0,0,1165,65,56281,50014,65,39,1,33242654.055,mauricionr/Hystrix
YES,20311245,0,0,0,1,6,1,649,168,1,2,1,0.7788,blalasaadri/junit-lambda-benchmark
YES,36008008,0,0,0,1,14,2,502,478,2,13,2,18.2728,bensteinert/chromarenderer-java-benchmarks
YES,68393882,0,2,0,3,113,3,6842,15,3,1,1,695.8314,gregor-i/nutria
YES,46662070,0,0,0,2,548,23,76271,68632,23,8,1,769055.7472,AOSP-YU/platform-external-okhttp
YES,39675136,0,9,8,7,17,1,1228,758,1,29,1,605.404,OpenHFT/jvm-micro-benchmarks
NO,10743474,1,0,0,1,197,16,11849,11686,16,48,8,179270.6304,electrum/slice
YES,10746583,0,591,111,52,1516,32,60806,58996,32,200,8,3.492587675648e+10,RoaringBitmap/RoaringBitmap
YES,43953675,0,16,4,5,162,4,11022,10151,4,57,1,692084.6064,vladimir-bukhtoyarov/rolling-metrics
YES,6756488,0,1,14,7,708,34,75437,71621,34,8,1,2905471.1424,CyanogenMod/android-external-okhttp
NO,41822787,1,0,0,1,98,2,2661,2353,2,2,1,104.3112,puneetarora2000/fastdtw-1
NO,74354929,1,0,0,1,248,36,8371,6984,36,33,1,246629.7504,russgray/client-java
YES,63074445,0,165,7,17,166,1,72048,70024,1,12,1,2382425.6256,akarnokd/RxJava2Extensions
YES,41083297,0,3,2,5,18,1,38985,31245,1,5,1,1403.46,johnaimes1a/f1x
YES,49284203,0,0,0,1,16,2,11010,1190,2,32,1,1127.424,nickman/json-benchmark
YES,32657853,0,0,0,1,560,13,32216,31599,13,3,1,70359.744,keystrokex/htm-java
YES,47114918,0,4,4,3,5,1,12141,11839,1,372,1,11291.13,jjenkov/iap-tools-java-benchmarks
NO,41082360,1,0,0,1,1211,67,57705,51406,67,48,1,22473650.808,liyuqi/Hystrix
YES,31835759,0,5,4,2,51,3,2787,2244,3,17,1,4349.3922,bdonlan/invokedynamic-proxy
YES,35641394,0,2,1,4,21,2,7656,5279,2,20,1,1929.312,thymeleaf/thymeleaf-benchmarks
YES,17783413,0,3,0,0,7,1,397,312,1,18,1,20.0088,SerCeMan/reflection-access-tests
NO,40644378,1,0,0,1,4683,15,188685,135780,15,134,6,177605982.855,renchunxiao/logging-log4j2
NO,41526761,1,0,0,1,1590,74,144901,136705,74,28,8,47737344.648,elandau/grpc-java
NO,23332782,1,0,0,1,128,11,10988,10835,11,45,6,69619.968,cberner/slice
YES,45357290,0,7,5,43,178,5,6574,4909,5,6,1,28084.128,joyent/java-http-signature
YES,63984668,0,0,0,1,13,1,5538,5012,1,23,1,165.5862,MartinanderssonDotcom/money-profiling
NO,33367764,1,0,0,1,1347,24,37948,36272,24,3,2,368034.8832,quilombodigital/orbit
NO,34304664,1,1,0,1,0,0,291006,283397,0,44,2,0,Alwayswithme/netty
NO,40068623,1,0,0,1,0,0,290530,282907,0,53,3,0,tempbottle/netty
NO,5876843,1,1,0,1,166,8,13424,11882,8,2,3,7130.8288,dain/aircompressor
NO,75527221,1,0,0,1,1061,27,35911,34609,27,3,1,308622.7251,joizhang/springside4
YES,48427062,0,0,0,1,3,1,1306850,980284,1,6,1,2352.33,wangbin83-gmail-com/hive-1-1-0-cdh5-4-8
YES,17629206,0,0,0,1,9,2,693,316,2,8,1,9.979199999999999,psiroky/jmh-java-benchmarks
