project,benchmark,numberOfCodeChanges
melix/jmh-gradle-plugin,me.champeau.gradle.jmh.JavaBenchmark.sqrtBenchmark,47
hekate-io/hekate,io.hekate.microbench.BenchmarkContext.measure,33
apptik/RHub,io.apptik.rhub.PublishSubjectPerf.onNext,13
rybalkinsd/atom,org.openjdk.jmh.samples.JMHSample_22_FalseSharing.reader,8
rybalkinsd/atom,org.openjdk.jmh.samples.JMHSample_22_FalseSharing.writer,8
apache/cassandra,org.apache.cassandra.test.microbench.PendingRangesBench.searchTokenForOldPendingRanges,6
prestodb/presto,com.facebook.presto.operator.BenchmarkGroupByHash.groupByHashPreCompute,6
prestodb/presto,com.facebook.presto.operator.BenchmarkGroupByHash.addPagePreCompute,6
prestosql/presto,com.facebook.presto.operator.BenchmarkGroupByHash.groupByHashPreCompute,6
prestosql/presto,com.facebook.presto.operator.BenchmarkGroupByHash.addPagePreCompute,6
raphw/byte-buddy,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,6
aol/cyclops-react,scrabble.ScanLeftTakeRight.measureThroughput,5
apache/incubator-druid,io.druid.benchmark.indexing.IncrementalIndexReadBenchmark.readWithFilters,5
moves-rwth/attestor-examples,de.rwth.i2.attestor.examples.RefDLL.buildAndTraverse,5
moves-rwth/attestor-examples,de.rwth.i2.attestor.examples.AVLTree.left_rotate,5
moves-rwth/attestor-examples,de.rwth.i2.attestor.examples.AVLTree.left_right_rotate,5
raphw/byte-buddy,net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy,5
raphw/byte-buddy,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations,5
raphw/byte-buddy,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist,5
ReactiveX/RxJava,io.reactivex.OperatorFlatMapPerf.flatMapIntPassthruAsync,5
ReactiveX/RxJava,io.reactivex.OperatorMergePerf.mergeNSyncStreamsOfN,5
ReactiveX/RxJava,io.reactivex.OperatorMergePerf.mergeNAsyncStreamsOfN,5
uber/tchannel-java,com.uber.tchannel.benchmarks.PingPongServerBenchmark.benchmark,5
apache/incubator-druid,io.druid.benchmark.query.GroupByBenchmark.queryMultiQueryableIndex,4
apache/incubator-druid,io.druid.benchmark.FilterPartitionBenchmark.readOrFilter,4
apache/incubator-druid,io.druid.benchmark.FilterPartitionBenchmark.readOrFilterCNF,4
apache/incubator-druid,io.druid.benchmark.FilterPartitionBenchmark.readComplexOrFilter,4
apache/incubator-druid,io.druid.benchmark.FilterPartitionBenchmark.readComplexOrFilterCNF,4
apache/incubator-druid,org.apache.druid.benchmark.query.TimeseriesBenchmark.queryMultiQueryableIndex,4
apache/incubator-druid,org.apache.druid.benchmark.query.SearchBenchmark.queryMultiQueryableIndex,4
apache/incubator-druid,org.apache.druid.benchmark.query.GroupByBenchmark.querySingleIncrementalIndex,4
apache/incubator-druid,org.apache.druid.benchmark.query.GroupByBenchmark.querySingleQueryableIndex,4
apache/incubator-druid,org.apache.druid.benchmark.query.GroupByBenchmark.queryMultiQueryableIndexWithSpilling,4
apache/incubator-druid,org.apache.druid.benchmark.query.GroupByBenchmark.queryMultiQueryableIndexWithSerde,4
apache/incubator-druid,org.apache.druid.benchmark.query.SelectBenchmark.queryMultiQueryableIndex,4
apache/incubator-druid,org.apache.druid.benchmark.query.TopNBenchmark.queryMultiQueryableIndex,4
ben-manes/caffeine,com.github.benmanes.caffeine.cache.ReadBufferBenchmark.record,4
JabRef/jabref,net.sf.jabref.benchmarks.Benchmarks.keywordGroupContains,4
moves-rwth/attestor-examples,de.rwth.i2.attestor.examples.RefDLL.buildList,4
netty/netty,io.netty.microbench.http2.internal.hpack.DecoderBenchmark.decode,4
pgjdbc/pgjdbc,org.postgresql.benchmark.statement.ProcessResultSet.bindExecuteFetch,4
prestodb/presto,com.facebook.presto.hive.benchmark.HiveFileFormatBenchmark.read,4
prestosql/presto,com.facebook.presto.hive.benchmark.HiveFileFormatBenchmark.read,4
raphw/byte-buddy,net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist,4
ReactiveX/RxJava,io.reactivex.OperatorMergePerf.oneStreamOfNthatMergesIn1,4
ReactiveX/RxJava,io.reactivex.OperatorMergePerf.merge1SyncStreamOfN,4
udoprog/tiny-async-java,eu.toolchain.perftests.jmh.ManyListeners.tiny,4
akarnokd/akarnokd-misc,hu.akarnokd.comparison.StreamVsRxJava.rx2Parallel2b,3
akarnokd/akarnokd-misc,hu.akarnokd.comparison.scrabble.ShakespearePlaysScrabbleWithGuavaOpt.measureThroughput,3
