found;project;className;benchmarkName
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.TextEncoderHelperBenchmark;charBufferEncode
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.TextEncoderHelperBenchmark;charBufferEncode
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.TextEncoderHelperBenchmark;charBufferCopyAndEncode
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.TextEncoderHelperBenchmark;charBufferCopyAndEncode
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.TextEncoderHelperBenchmark;textHelperCopyAndEncode
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.TextEncoderHelperBenchmark;textHelperCopyAndEncode
false;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.TextEncoderHelperBenchmark;toTextMCD
false;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.TextEncoderHelperBenchmark;toTextMCD
false;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.SimpleBenchmark;testCallerStack
false;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.SimpleBenchmark;testCallerStack
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark;latencySimple
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark;latencySimple
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark;latency3Params
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark;latency3Params
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark;latency5Params
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark;latency5Params
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark;latency7Params
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark;latency7Params
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark;latency9Params
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark;latency9Params
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark;log4j2RAF
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark;log4j2RAF
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark;log4j2MMF
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark;log4j2MMF
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark;log4j2AsyncAppender
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark;log4j2AsyncAppender
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark;log4j2AsyncDisruptor
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark;log4j2AsyncDisruptor
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark;log4j2AsyncLogger
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark;log4j2AsyncLogger
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark;logbackAsyncFile
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark;logbackAsyncFile
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark;log4j1File
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark;log4j1File
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark;julFile
true;apache/logging-log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark;julFile
false;SquidPony/SquidLib;squidpony.performance.HashBenchmark;doLongWater_64
false;SquidPony/SquidLib;squidpony.performance.HashBenchmark;doLongWater_32
false;SquidPony/SquidLib;squidpony.performance.HashBenchmark;doMetro64
false;SquidPony/SquidLib;squidpony.performance.HashBenchmark;doCharMetro64
false;SquidPony/SquidLib;squidpony.performance.HashBenchmark;doLongMetro64
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureSwayRandomizedDouble
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureSwayRandomizedFloat
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureSwayDouble
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureSwayFloat
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureSwayBitDouble
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureSwayBitFloat
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureSwayDoubleTight
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureSwayFloatTight
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureSwayBitDoubleTight
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureSwayBitFloatTight
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureZigzagDouble
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureZigzagFloat
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureZigzagBitDouble
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureZigzagBitFloat
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measurePerlin2D
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measurePerlin3D
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measurePerlin4D
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureWhirling2D
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureWhirling3D
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureWhirling4D
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureWhirlingAlt2D
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureWhirlingAlt3D
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureMerlin2D
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureMerlin3D
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureClassicNoise2D
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureClassicNoise3D
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureClassicNoise4D
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureJitterNoise2D
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureJitterNoise3D
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureJitterNoise4D
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureFast3Octave3D
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureFast5Octave3D
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureFast3Octave4D
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureFast5Octave4D
true;SquidPony/SquidLib;squidpony.performance.NoiseBenchmark;measureWhirling3Octave3D
