"name","annotationPresent","defaultValuePresent","defaultValuePresentPercentage","annotationPresentPre121","defaultValuePresentPre121","defaultValuePresentPre121Percentage","annotationPresentPost121","defaultValuePresentPost121","defaultValuePresentPost121Percentage"
"10816 benchmarks has a jmh version","","","","","","","","",""
"6403 benchmarks has jmh version 1.20 or ealier","","","","","","","","",""
"4115 benchmarks has jmh version 1.21","","","","","","","","",""
"warmupIterations","4530","1278","28.21","2422","60","2.48","2108","1218","57.78"
"warmupTime","2032","21","1.03","1133","0","0.0","899","21","2.34"
"measurementIterations","4584","1419","30.96","2473","238","9.62","2111","1181","55.95"
"measurementTime","2666","25","0.94","1420","0","0.0","1246","25","2.01"
"forks","4291","33","0.77","2391","26","1.09","1900","7","0.37"
"warmupForks","178","65","36.52","150","42","28.0","28","23","82.14"
"mode","7115","2605","36.61","3971","1317","33.17","3144","1288","40.97"
