project,benchmarks,time
Abnaxos/guards,5,0.2
abstools/timsort-benchmark,22,0.05
acisternino/narjillos-math-bench,9,0.04
addthis/basis,9,3.38
addthis/codec,10,4.77
AdoptOpenJDK/vmbenchmarks,26,3.06
afdw/fastcloud,2,0.15
afredlyj/learn-netty,15,0.42
AgentTroll/TrollCommons,38,0.46
aitusoftware/flute,2,1.84
akarnokd/akarnokd-misc,368,1.19
akarnokd/ixjava,11,0.8
akarnokd/reactive-streams-impl,33,0.15
akarnokd/ReactiveChannel,2,0.12
akarnokd/RxJava2Extensions,12,2.8
akashche/tzdata-jmh,2,0.15
alesharik/AlesharikWebServer,47,0.88
Alex-Diez/Java-TDD-Katas,27,3.91
alexey-kotlyar/algostructure,13,0.23
alexeyr/pcg-java,4,0.05
alexo/spinner,1,1.77
allegro/json-avro-converter,4,0.88
almondtools/regexbench,4,0.68
almondtools/stringbench,6,0.69
amoAHCP/Java8LunchSchool,4,1.19
amsa-code/risky,5,4.03
andrepnh/data-structure-fun,19,2.65
andrey-vasilyev/gosthash,1,0.32
andreytim/jafar,37,0.83
aNNiMON/Own-Programming-Language-Tutorial,2,3.1
aol/cyclops-react,54,2.92
apache/aurora,12,2.95
apache/calcite,15,3.39
apache/commons-bcel,3,2.29
apache/commons-crypto,14,3.38
apache/commons-csv,8,4.54
apache/directory-kerby,2,1.27
apache/hive,20,1.31
apache/ignite,32,3.23
apache/incubator-druid,181,1.31
apache/incubator-gobblin,7,2.72
apache/incubator-pinot,34,1.31
apache/incubator-retired-pirk,3,0.88
apache/incubator-rya,3,3.12
apache/logging-log4j2,355,1.29
apache/orc,11,1.62
apache/parquet-mr,53,1.29
apache/tinkerpop,52,1.31
apptik/joio,46,1.33
apptik/jus,2,0.18
apptik/JustJson,1,0.81
apptik/RHub,16,0.9
areese/JavaTheCostOfDoingNothing,18,0.38
areese/TestUTF8Decoding,3,1.46
arienkock/parallelism-benchmarks,5,0.08
arjunswaj/Java8,2,0.47
arnaudroger/benchmark-loop,2,0.13
arnaudroger/jmh-exp,1,1.09
arnaudroger/mapping-benchmark,59,1.08
arnaudroger/orm-benchmark,42,0.3
arnaudroger/sfm-csv-variability,9,0.08
arnaudroger/SimpleFlatMapper,47,1.3
arnohaase/a-foundation,36,1.48
arteam/100-Java-Concurrency-questions,5,0.06
artspb/javax-mail-pool,8,0.08
asarkar/java,2,3.85
ashishbende/RPC-API,36,0.81
asympro/CleanStringBuilderBenchmark,4,0.58
atlanmod/NeoEMF,23,1.05
atlassian/commonmark-java,7,2.45
audit4j/audit4j-benchmarks,10,0.71
awood/crl-stream,4,2.38
basho-labs/java-client-bench,2,1.13
bassemZohdy/SimpleUtils,7,0.48
batterseapower/btreemap,6,2.44
bckfnn/taggersty,1,1.09
bdonlan/invokedynamic-proxy,17,2.09
bearmug/x-traktor-core,25,0.36
belliottsmith/injector,1,0.74
benalexau/hash-bench,3,2.48
biboudis/clashofthelambdas,15,0.41
biboudis/streamalg,34,0.49
bingoohuang/eql,1,1.06
bingoohuang/javacode-demo,8,3.96
bingoohuang/westcache,2,1.13
blynkkk/blynk-server,12,2.3
bodewig/commons-compress-benchmarks,14,1.58
bramp/unsafe,4,1.59
BrentDouglas/vial,55,0.37
brettwooldridge/HikariJSON-benchmark,8,0.31
britter/to-array-benchmark,4,0.19
btraceio/btrace,38,0.96
burmanm/compression-int,3,0.53
burmanm/gorilla-tsc,4,1.04
C0rWin/Java-KMeans-Coreset,8,1.08
cache2k/cache2k-benchmark,30,1.31
camunda/camunda-engine-dmn-benchmark,1,1.07
carrotsearch/hppc,5,1.04
ceki/logback-perf,7,1.11
census-instrumentation/opencensus-java,81,1.59
centic9/poi-benchmark,10,1.31
cglib/cglib,2,1.28
chrisvest/object-pool-benchmarks,24,0.06
cinnober/msgcodec,35,3.04
