"project","benchmarks","useJmhSince"
"eclipse/eclipse-collections","515","3.529369577625571"
"smarr/GraalCompiler","21","0.6492944571283612"
"zapster/graal-core","52","1.691435312024353"
"y-lan/presto","27","1.3926195142059867"
"apache/logging-log4j2","355","4.871820046930492"
"SquidPony/SquidLib","269","3.808878139269406"
"RoaringBitmap/RoaringBitmap","265","4.337326801116185"
"prestodb/presto","262","4.976298579401319"
"prestosql/presto","257","4.976175545408422"
"ReactiveX/RxJava","217","5.14450735667174"
"netty/netty","183","5.146802004058854"
"apache/incubator-druid","181","4.227769882039574"
"moves-rwth/attestor-examples","160","1.5119554794520549"
"afredlyj/learn-netty","15","0.3403527080162354"
"kiegroup/kie-benchmarks","150","3.198385052004059"
"oracle/graal","127","4.557393994165398"
"tools4j/decimal4j","102","3.7961083523592087"
"mono-plane/presto","5","0.5573000063419584"
"azadmanesh/sl-tracer","11","0.47247222222222224"
"mono-plane/airlift","0","0.0"
"kennyledet/Algorithm-Implementations","2","2.4594560819381024"
"sparkoo/Java-Grande-JMH","93","0.952074137493658"
"JCTools/JCTools","92","5.070596905124303"
"traneio/future","90","1.7150910705225775"
"census-instrumentation/opencensus-java","81","2.347622748604769"
"neo4j-contrib/neo4j-graph-algorithms","78","2.296340372907154"
"marsorp/blog","73","0.0"
"openzipkin/zipkin","73","3.557202910958904"
"salyh/jsr353-benchmark","72","0.9667647767630644"
"JetBrains/xodus","70","5.1305958269913745"
"jpaw/bonaparte-java","70","4.965727359208524"
"Netflix/spectator","68","5.054790525114155"
"centic9/poi-benchmark","10","3.297454686707255"
"hazelcast/hazelcast","66","3.223087772704211"
"lettuce-io/lettuce-core","65","3.351624936580416"
"palantir/atlasdb","65","2.889459062658549"
"apache/cassandra","64","4.809671740233384"
"TridentSDK/TridentSDK","1","1.1556711377473363"
"SlimRoms/android_external_okhttp","8","1.8467278665651954"
"vladimir-bukhtoyarov/rolling-metrics","57","2.617919805936073"
"reactor/reactive-streams-commons","157","3.2202865930999494"
"hsqlu/coding-lab","16","2.9020141742770167"
"rybalkinsd/atom","0","2.1300654490106545"
"structlogging/structlogger","55","0.28330225773718926"
"aol/cyclops-react","54","2.500090182648402"
"rslemos/cobolg","3","0.1551510020294267"
"apache/parquet-mr","53","4.3771770357686455"
"jenetics/jenetics","53","5.010207730847285"
"gameduell/eclipselink.runtime","52","1.4726587709284626"
"apache/tinkerpop","52","3.388005644342973"
"tzaeschke/distributed-phtree","26","1.7276998351090818"
"comodal/hash-overlay","50","0.3780570776255708"
"neowu/core-ng-demo-project","47","2.3592496511922882"
"Alex-Diez/Java-TDD-Katas","27","3.4067116945712836"
"airlift/slice","48","5.059703228056824"
"shunfei/indexr","48","2.564244165398275"
"terma/fast-select","48","1.7480283168442414"
"alesharik/AlesharikWebServer","47","1.8790177891933029"
"arnaudroger/SimpleFlatMapper","47","4.054653855910705"
"mini2Dx/mini2Dx","47","3.302783580669711"
"isalnikov/ACMP","3","2.4808775050735665"
"jajir/jblinktree","9","3.9020087201927955"
"orfjackal/cqrs-hotel","6","2.0961475773718923"
"oblac/jodd","46","2.719972856418062"
"msteindorfer/criterion","101","3.59963619355657"
"real-logic/benchmarks","27","3.96932049086758"
"dropbox/dropbox-sdk-java","3","3.2136790017757484"
"Konstantin8105/Triangulation","6","0.344195300608828"
"davidmoten/rtree","42","4.81462484145104"
"grpc/grpc-java","42","4.312503044140031"
"akarnokd/akarnokd-misc","368","3.6865322171486556"
"jpaw/jpaw","40","4.8821246194824965"
"Netflix/Hystrix","40","3.558943302891933"
"RTBHOUSE/avro-fastserde","40","2.115947139776763"
"ReactiveX/RxJavaParallel","11","0.06775142694063926"
"jpaw/jpaw8","39","4.569400114155251"
"raphw/byte-buddy","39","4.942013857179097"
"AgentTroll/TrollCommons","38","0.2962368721461187"
"btraceio/btrace","38","4.382557045915779"
"crate/crate","38","3.557330416032471"
"tommyettinger/sarong","407","2.891199042364282"
"arnohaase/a-foundation","36","1.3948492833587012"
"sergiomt/judal","0","1.5607113140537798"
"h2oai/h2o-3","36","2.723919996194825"
"wondee/faststring","8","0.11743743658041603"
"asarkar/java","2","3.6914817034500254"
"arnaudroger/orm-benchmark","42","1.0461399987316082"
"cinnober/msgcodec","35","2.9525166476407914"
"OpenHFT/Chronicle-Wire","35","3.973796613394216"
"apache/incubator-retired-pirk","3","0.7692098871131405"
"apache/incubator-pinot","34","3.8936006468797566"
"biboudis/streamalg","34","0.3261530948756976"
"andymalakov/f1x","0","0.0"
"eXistence/TeeTime-Cpp","0","1.6816308028919331"
"outbrain/prometheus-client","34","0.9531214167935058"
"Javalbert/sql-builder-orm","7","0.08245424277016743"
"lmdbjava/benchmarks","56","2.974545693810249"
"eclipse/vert.x","33","2.0592447044647386"
"prometheus/client_java","33","4.6212585616438355"
"rkraneis/rtree","33","0.380136732623034"
"apache/ignite","32","3.5573368214104515"
"square/okio","32","4.462684963216641"
"guyko/weighted-lottery","10","0.5433237252663623"
"jkirsch/spex","8","1.7393115169964486"
"ericmm/Woobaben","56","2.094392440385591"
"atlassian/commonmark-java","7","4.044263286402841"
"almondtools/stringbench","6","3.1301016615931"
"line/armeria","31","2.225840277777778"
"paritytrading/philadelphia","31","3.904198503297818"
"uujava/cqengine-query-jmh","31","0.0"
"cache2k/cache2k-benchmark","30","3.5553919964485035"
"inspectIT/inspectIT","30","3.4558236935565705"
"andreytim/jafar","37","0.662150272704211"
"junkdog/entity-system-benchmarks","32","1.8486024860476915"
"insano10/puzzlers","4","0.4067223173515982"
"puniverse/quasar","29","4.262068207762557"
"vsonnier/hppcrt","28","4.253185026636225"
"entrepidea/projects","0","3.203301401572806"
"davidmoten/rtree-3d","34","3.421855720446474"
"optimatika/ojAlgo-linear-algebra-benchmark","16","2.7740779743784882"
"bearmug/x-traktor-core","25","0.11510987442922374"
"jgrapht/jgrapht","27","3.93659446347032"
"cinquin/mutinack","27","1.490091831557585"
"dimitrovchi/enum-like","27","0.02398122780314561"
"hibernate/hibernate-ogm","27","4.445512937595129"
"JetBrains-Research/viktor","27","2.561008403094876"
"virsox/cepsim","2","0.4955610096397768"
"Squarespace/template-compiler","27","3.8022886225266364"
"jregistr/Academia","0","0.0"
"AdoptOpenJDK/vmbenchmarks","26","3.721273782343988"
"arteam/100-Java-Concurrency-questions","5","3.473773370116692"
"ttsiodras/HexSpeak","1","3.1803230910705227"
"lemire/microbenchmarks","67","3.284574200913242"
"frankboller/watcher","16","1.8218118658041604"
"google/conscrypt","7","2.5492839611872147"
"areese/TestUTF8Decoding","3","1.3829171106037543"
"simonpatrick/stepbystep-java","13","0.04250776889903602"
"atlanmod/NeoEMF","23","2.4670788939624555"
"wesleyegberto/courses-projects","2","1.9457230783866057"
"intropro/prairie","23","0.9262503170979198"
"jsurfer/JsonSurfer","23","3.9627846905124304"
"fabienrenaud/java-json-benchmark","58","2.3487567858954845"
"kevoree-modeling/benchmark","18","1.2947211440892947"
"Vedenin/java_in_examples","49","0.2087242199391172"
"txazo/java","6","2.595832508878742"
"marschall/mini-commons","22","1.4243949771689497"
"thheller/shadow-pgsql","5","2.8400965563165905"
"tudorv91/SparkJNI","2","0.16535153475393202"
"vibneiro/dispatching","15","0.08208143074581431"
"harishsharma/junk","0","0.0"
"fabri1983/menuapp","2","2.599144913749366"
"apache/hive","20","4.557336440892947"
"austinv11/ETF-Java","1","0.12110403982749873"
"nstdio/libpgn","0","1.7944774226281075"
"optimizely/java-sdk","20","3.0656184043632675"
"thegenius/LogicWeaver","0","0.0"
"kvr000/zbynek-java-exp","22","3.1460455035514965"
"imglib/imglib2","19","1.7165480403348554"
