Statistic Done;Missing;Ignored;Status;project;Benchmarks;Parameterization Combination;stars;forks;watchers;jmhVersion;commit;jdk;area
;0;22;Done;ReactiveX/RxJava;217;1282;40183;6750;2366;1.2;17a8eef0f660f58deed7f7ee399915a61ce404d6;1.8;asynchronous, event-based programing
;0;0;Done;jmh-jdk-microbenchmarks;994;1381;;;;1.21;d0fab231915f;1.8;jdk
Done;0;3;Done;apache/logging-log4j2;358;510;783;482;76;1.19;ac121e22d763d6b5391fad9e39d5efbeb79ccfac;13;logging
Done;0;0;Done;jmh-core-benchmarks;110;110;;;;1.21;a07e91499e97;1.8;jmh
Done;0;0;Done;raphw/byte-buddy;39;39;2930;373;139;1.16;c24319ae581137e9a55071b22e38b1aa6aa3f51d;1.8;bytecode
;0;0;Done;JCTools/JCTools;60;148;2012;296;188;1.21;19cbaae4501c310ce3afb1a7443187e244888310;1.8;concurrency
;0;0;Done;protostuff/protostuff;16;31;1245;224;105;1.6.1;2865bb43501e428c009e56be16891e02f27a0082;1.8;serialization
Done;0;4;Done;jenetics/jenetics;40;40;477;95;40;1.21;002f969a3eeca00c9d22308f0b65b851e0cb005c;1.8;genetic algorithm
Done;0 (8);0;Done;SquidPony/SquidLib;269;367;273;42;36;1.21;055f041bebe6b68f7ca13fd3dd7f035eb7d5a665;1.8;visualization
Done;0 (4);9;Done;openzipkin/zipkin;61;61;11510;2097;722;1.21;43f633d73ee46268ab43de0e33efd4fd07b2e3a0;1.8;distributed tracing
