project;benchmark;params;javaPath;jarFile;arguments
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline;;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field;;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field;;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_10_int_field;;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields;;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_1_int_field;;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field;;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field;;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields;;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field;;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_1_int_field;;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_10_int_field;;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field;;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=1;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=10;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=100;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=1000;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=10000;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=100000;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=1;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=10;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=100;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=1000;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=10000;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=100000;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer;stringLength=1;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer;stringLength=10;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer;stringLength=100;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer;stringLength=1000;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer;stringLength=10000;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
protostuff;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer;stringLength=100000;java;~/thesis/rq2/protostuff.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
