project;commit;benchmark;params;i1;i2;i3;i4;i5;i6;i7;i8;i9;i10;i11;i12;i13;i14;i15;i16;i17;i18;i19;i20;i21;i22;i23;i24;i25;i26;i27;i28;i29;i30;i31;i32;i33;i34;i35;i36;i37;i38;i39;i40;i41;i42;i43;i44;i45;i46;i47;i48;i49;i50;i51;i52;i53;i54;i55;i56;i57;i58;i59;i60;i61;i62;i63;i64;i65;i66;i67;i68;i69;i70;i71;i72;i73;i74;i75;i76;i77;i78;i79;i80;i81;i82;i83;i84;i85;i86;i87;i88;i89;i90;i91;i92;i93;i94;i95;i96;i97;i98;i99;i100
;;org.apache.logging.log4j.perf.jmh.NanotimeBenchmark.latency_nanotime;;0.182929718;0.043651986;0.062761393;0.067102795;0.070902534;0.048504664;0.036474221;0.036741212;0.026018413;0.020295826;0.019157827;0.017204825;0.016331567;0.015012943;0.008531672;0.009735108;0.011738393;0.009896703;0.012223271;0.010175503;0.008589095;0.009905132;0.006575369;0.007315624;0.006878483;0.005693253;0.006948395;0.004204962;0.005446213;0.00399167;0.003911987;0.004997383;0.003813007;0.004148889;0.004521912;0.004057166;0.003064787;0.003308055;0.002437589;0.001789807;0.002806655;0.002103347;0.002097556;0.00244654;0.001818531;0.002187257;0.001707402;0.002016548;0.001737939;9.21E-04;0.001366932;0.001202416;0.001428413;0.001666884;0.001144403;0.001461065;9.82E-04;0.001540047;0.001669196;8.65E-04;0.00131835;7.04E-04;3.30E-04;8.05E-04;6.10E-04;8.05E-04;0.001441516;7.92E-04;0.001004305;0.001486256;9.71E-04;8.45E-04;0.014325898;0.013391891;0.013843781;0.015047447;0.001171216;0.002663462;0.001463329;0.00263572;0.002106785;8.32E-04;0.001839242;5.33E-04;7.94E-04;0.001171351;0.001312492;8.18E-04;0.00669427;0.010088649;0.01124625;0.011682845;0.004534657;0.001776142;0.002545805;0.001348322;;;;
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArraySet1Element;;0.458432228;0.162959867;0.191016521;0.231269401;0.169011151;0.144241549;0.123275695;0.100238123;0.095567095;0.057396037;0.061785153;0.051377115;0.033721638;0.032940804;0.029296633;0.026753071;0.02368582;0.024048717;0.022307308;0.021486991;0.017572277;0.019858825;0.015487158;0.016032421;0.015897258;0.014548494;0.013639438;0.012373387;0.009587465;0.010717205;0.011684117;0.009802172;0.012042491;0.006888443;0.007230581;0.008710677;0.007836942;0.007806283;0.007470511;0.007038845;0.00520572;0.006744469;0.005038907;0.00579301;0.005600376;0.005008336;0.004999447;0.004926959;0.004361797;0.002269963;0.004461448;0.002504573;0.002442407;0.005291343;0.003784996;0.003464535;0.003482016;0.00166666;0.002374602;0.001642694;0.004130115;0.001987181;0.001757284;0.004804395;0.002567295;0.002809346;0.00152896;0.001699731;0.00293653;0.002684767;0.002782348;0.001387069;0.001061584;0.002384315;0.002083227;0.002554539;0.002204291;0.001493434;0.001354616;4.08E-04;0.002008938;0.002092596;0.002605056;0.00207223;4.25E-04;0.001704369;0.001651147;0.001861824;0.001537611;1.79E-04;0.001040294;0.002107872;0.001747078;0.002181971;0.001950778;6.12E-04;;;;
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.iterateArrayContextDataTriConsumer;count=5,length=20;0.534726561;0.336698457;0.148134695;0.196781872;0.181080985;0.17917009;0.135973731;0.109215692;0.087552893;0.074336328;0.065429087;0.06106646;0.05248136;0.049013588;0.042560936;0.035869169;0.031324148;0.025001246;0.027820846;0.029612868;0.027195829;0.026853;0.024946914;0.01595797;0.018853538;0.01634497;0.017849139;0.01587237;0.016220528;0.015147227;0.011599253;0.012399569;0.011206465;0.012917794;0.01039476;0.009690453;0.008440288;0.005141275;0.008693609;0.007268108;0.00766731;0.00871426;0.006287729;0.006480399;0.007315387;0.006710335;0.006452497;0.008840614;0.007120192;0.004516974;0.004651531;0.00395949;0.004283034;0.005768294;0.006437614;0.003947636;0.004726424;0.003590923;0.004671855;0.005111604;0.003510586;0.004089694;0.002089341;0.002570397;0.004650044;0.003039751;0.004432292;0.003739729;0.001838465;0.004331301;0.002231496;0.002830207;0.003643897;0.001349618;0.003475977;0.003630989;0.002738686;0.003745872;0.00181926;0.002721885;0.001927332;0.002505038;0.001524767;0.002421705;0.002284849;0.00244629;0.00345833;6.69E-04;0.001953269;0.002442492;0.001779746;0.002515609;0.002116515;0.00200332;0.002314024;0.001691392;;;;
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.921175515;0.267332774;0.353005051;0.432315985;0.328807469;0.281646018;0.243234947;0.209826525;0.179819408;0.14158254;0.116282536;0.091319071;0.068969179;0.081526918;0.071117178;0.066426716;0.059902815;0.048642492;0.044054355;0.038298155;0.039866201;0.02656682;0.031002071;0.032989438;0.031822167;0.036164319;0.027865467;0.023038694;0.020568574;0.017723612;0.021983092;0.023330356;0.019920805;0.019898135;0.013306435;0.012028232;0.015719023;0.013867975;0.018916917;0.013387804;0.012401727;0.01491128;0.010148579;0.00834555;0.009041862;0.010868107;0.01145763;0.012026486;0.010195975;0.006742382;0.007252898;0.007672642;0.008007449;0.006855351;0.007048015;0.008938753;0.005062431;0.006499043;0.009386424;0.00668272;0.006846395;0.006042011;0.00248237;0.005951402;0.005990059;0.008507158;0.005404132;0.004345135;0.003475729;0.002760717;0.005415828;0.005090123;0.005548197;0.004091016;0.004016644;0.004218575;0.005734364;0.007506439;0.002538488;0.005319984;0.002431105;0.005514326;0.00537419;0.003989931;0.00243697;0.003184079;0.002411028;0.003381653;0.006446683;0.002904178;0.003227418;0.004420066;0.001794686;0.00319783;0.004551176;0.00243703;;;;
;;org.apache.logging.log4j.perf.jmh.TextEncoderHelperBenchmark.toStringMCD;;0.59130449;0.144599981;0.20543179;0.260829815;0.20260434;0.174561254;0.144511422;0.114685177;0.109209604;0.092583287;0.074517162;0.062509262;0.052793531;0.053753971;0.052722658;0.042840067;0.03671934;0.030051847;0.029785808;0.029130381;0.029902759;0.027977432;0.021354974;0.022210368;0.019446897;0.015624245;0.018959697;0.017051298;0.01389251;0.017697894;0.015418987;0.011977277;0.012202714;0.007750315;0.007432722;0.221600202;0.224340088;0.230172229;0.300614837;0.071801389;0.076427962;0.066659147;0.004428777;0.007219981;0.003265205;0.006497415;0.025021721;0.050251226;0.049647187;0.044717563;0.021940272;0.003967963;0.015166602;0.013414095;0.018094371;0.024485769;0.019292586;0.01074467;0.014634624;0.00954449;0.013098454;0.021932729;0.038557509;0.032657178;0.036661022;0.053237835;0.040239004;0.035537293;0.028173083;0.025947355;0.020608773;0.017876589;0.017753825;0.015646426;0.017108734;0.023491433;0.01440249;0.020549904;0.011928995;0.016791539;0.014192265;0.024276227;0.021833507;0.022093537;0.024685554;0.009204129;0.007476105;0.025541569;0.030364062;0.035250389;0.027591092;0.017658489;0.02351327;0.016668854;0.005371212;0.01041502;;;;
;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.byteArrayMDNoSpace;;0.650958537;0.186360776;0.198476349;0.237976339;0.183453704;0.179590731;0.140185193;0.134675343;0.116299399;0.094686848;0.094414707;0.073677096;0.074489186;0.074894525;0.067311011;0.058117006;0.045960216;0.04194749;0.031231632;0.034032356;0.040315981;0.027662703;0.030303631;0.031692115;0.022976643;0.021665812;0.022806997;0.017570796;0.013629633;0.020263345;0.014986479;0.017166659;0.017228472;0.014178627;0.015185692;0.008953038;0.010830048;0.008247461;0.008244636;0.009981383;0.008887182;0.009089099;0.00895234;0.009312926;0.010340742;0.005554329;0.008017057;0.008640709;0.009545138;0.010033234;0.007475214;0.007782284;0.005555836;0.008683453;0.005468163;0.005480808;0.005848061;0.005962376;0.006985742;0.004177776;0.005579228;0.005973441;0.004876726;0.006046254;0.003387883;0.003561929;0.003456031;0.003054298;0.005560775;0.0047372;0.004896695;0.004355745;0.003652448;0.003906026;0.003351029;0.002568935;0.002437975;0.003714881;0.003560467;0.004327347;0.004189052;0.002832123;0.003217863;0.002816923;0.004088735;0.002541414;0.00305443;0.003218073;0.00282412;0.003045566;0.002473927;0.002905627;0.003858658;0.002652435;0.001492299;6.09E-04;;;;
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.putAllMap;count=500,length=20;0.320531426;0.084651763;0.111919251;0.139158816;0.111015487;0.096220596;0.084051748;0.071810113;0.059305945;0.048071618;0.036097295;0.026406144;0.023890531;0.020299697;0.020931631;0.019392339;0.014376267;0.013821474;0.014400884;0.015610486;0.01642847;0.014470204;0.012783033;0.013436372;0.012032972;0.011833115;0.011640463;0.007556265;0.009945123;0.009862345;0.009963647;0.010155273;0.009910494;0.009102064;0.006374437;0.006668331;0.006145616;0.004778112;0.006792313;0.005025797;0.005439678;0.005348165;0.004882348;0.004711606;0.003054509;0.004792312;0.004295869;0.002679172;0.003563942;0.00254624;0.003434225;0.004475556;0.004000689;0.00398758;0.003282717;0.003192145;0.002506411;0.002795999;0.003187486;0.002559039;0.002628913;0.002596676;0.00118016;0.001749385;0.001938534;0.002371424;0.002533203;0.002431703;0.0015138;0.001960498;0.002079236;0.001819681;0.001606866;0.001588398;0.001151245;0.001630319;0.001142888;9.60E-04;0.00182658;0.001589607;0.001979089;9.17E-04;9.02E-04;9.85E-04;0.001469503;0.001578665;0.001028747;9.31E-04;5.22E-04;4.76E-04;7.78E-04;5.60E-04;0.001111232;0.001429325;9.45E-04;7.52E-04;;;;
;;org.apache.logging.log4j.perf.jmh.JpaAppenderBenchmark.testThroughputHSQLDBException;;1.152982859;0.352572639;0.497908097;0.58387341;0.446931142;0.345479562;0.237706035;0.197737988;0.163095712;0.140439229;0.123050487;0.104517355;0.099270595;0.093815949;0.088900469;0.076220239;0.076334334;0.062560842;0.06217769;0.059062771;0.05130249;0.049309749;0.041287858;0.043127253;0.04320713;0.031819719;0.042570869;0.034843619;0.027840496;0.038118961;0.022391326;0.020441429;0.024153963;0.020587271;0.022220446;0.027638126;0.021846964;0.018353283;0.020756163;0.013540847;0.018560908;0.014183915;0.016914471;0.016027093;0.01384171;0.015372991;0.011394092;0.009681854;0.00841892;0.008551454;0.0096556;0.01097357;0.00887283;0.01326696;0.008271675;0.009961665;0.010041216;0.00505661;0.00800243;0.006009763;0.008837881;0.010109696;0.010610833;0.009563142;0.007186821;0.003558815;0.004374204;0.00333533;0.008503927;0.009670512;0.005014985;0.007044194;0.003453814;0.005580704;0.005877379;0.004424178;0.005687672;0.007362088;0.005412134;0.006049419;0.005607823;0.002696985;0.0055223;0.005058181;0.004390761;0.00380436;0.002804526;0.003917172;0.004155745;0.005027261;0.004298872;0.00356801;0.005003229;0.004148024;0.004231543;;;;;
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.922612794;0.197899742;0.283160595;0.365554935;0.325882671;0.285476556;0.240974696;0.196593697;0.159085672;0.133721539;0.116633548;0.107508893;0.090706191;0.084320512;0.072516507;0.055441366;0.062324839;0.053378779;0.054658454;0.048473735;0.038197525;0.034697023;0.029984698;0.030293843;0.029360557;0.0289998;0.019741541;0.021699697;0.021101104;0.022197438;0.026733488;0.022399544;0.018183599;0.015223131;0.014660926;0.015657732;0.020000844;0.014179367;0.014770171;0.01400191;0.011681884;0.017102715;0.01350314;0.013227865;0.010112393;0.010032162;0.012357756;0.008903993;0.012959614;0.007290071;0.005759038;0.008013762;0.007443747;0.00848775;0.009403363;0.008767698;0.006260557;0.009965449;0.006503366;0.0061281;0.007455208;0.006138701;0.003121525;0.007103585;0.006929007;0.008210548;0.008407342;0.00243169;0.004415242;0.00424006;0.004009194;0.004968926;0.002092934;0.003256299;0.004965576;0.004774893;0.005915405;0.006916406;0.004337648;0.00638457;0.003838755;0.004748414;0.003119382;0.00142393;0.004554955;0.004156185;0.004074982;0.005284265;0.002974274;0.002261258;0.003331264;0.002986355;0.003183031;0.002667782;0.002876139;0.001583516;;;;
;;org.apache.logging.log4j.perf.jmh.SimpleBenchmark.testIsDebugEnabledResponseTime;;0.415238326;0.135708946;0.191624523;0.223244727;0.170598946;0.138470497;0.100818031;0.090855488;0.07191181;0.064371636;0.057177621;0.041749381;0.038112538;0.035832813;0.030862391;0.028019599;0.02515834;0.022309419;0.017734148;0.018462589;0.017100444;0.013076945;0.016395757;0.013542417;0.012142724;0.012985903;0.011246747;0.011913256;0.00766616;0.009572994;0.006485284;0.007076941;0.008217993;0.005156624;0.007417985;0.006311338;0.005740776;0.006138143;0.00463875;0.005271574;0.004916972;0.015964027;0.01916924;0.020065236;0.018539952;0.00552626;0.002696315;0.002886315;0.003711924;0.002902421;0.003711225;0.002604211;0.002564268;0.001997937;0.001966661;0.002995727;0.001505538;0.001633536;0.001144496;0.00159969;0.001365833;0.002577275;0.002148318;0.002364475;0.002508686;0.002825848;0.002147527;0.00124554;0.001475956;7.68E-04;0.001845779;0.001880708;0.003383856;0.003881328;0.002719554;0.00330553;0.001716011;0.001852645;0.003884379;0.002804076;0.00246585;0.002991479;8.88E-04;0.002142492;0.003208911;0.004293468;0.003329191;0.001996014;0.001659416;0.002083602;0.003078274;0.002025335;0.003567673;0.002695158;0.00313758;0.004013143;;;;
