project;commit;benchmark;params;i5;i6;i7;i8;i9;i10
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params;;0.062020828;0.069163805;0.048726679;0.060902094;0.030340135;0.025296653
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2;;0.048175908;0.034019284;0.038532284;0.027849242;0.035975648;0.019125982
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV3;;0.719312814;0.688222917;0.65003642;1.210588222;0.632404514;0.535954889
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params;;0.057850164;0.030995326;0.052660081;0.03684266;0.019439238;0.024955288
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV2;;0.026933955;0.028059953;0.023103667;0.020219654;0.024612515;0.028512531
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV3;;0.021016922;0.014858267;0.01098301;0.017839538;0.018565654;0.013524085
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7Params;;0.007036814;0.006556448;0.008347776;0.004227522;0.010793846;0.011544907
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7ParamsV2;;0.010049379;0.010998238;0.006879044;0.011461698;0.010208349;0.010610247
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7ParamsV3;;0.023821022;0.027763649;0.008868389;7.59E-03;0.006435831;0.007189521
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9Params;;0.061826609;0.073667637;0.031521555;0.022389646;0.013050867;0.022668078
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9ParamsV2;;0.097095692;0.081345991;0.044118154;0.014688124;0.020706415;0.014901417
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9ParamsV3;;0.026461696;0.022272399;0.016261906;0.02178368;0.01221675;0.016937562
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.baseline;;0.017546876;0.01620608;0.008283414;0.004544939;0.009377773;0.005841554
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1Encode;;0.065593737;0.039922321;0.072090912;0.01701156;0.040550963;0.034576353
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1GetBytes;;0.100188861;0.063626834;0.079869409;0.099727611;0.030558267;0.029429646
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiEncode;;0.197235432;0.197069886;0.160416629;0.196191628;0.029811552;0.054918172
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiGetBytes;;0.04942328;0.104685202;0.082306919;0.049170303;0.041517183;0.083201625
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf16Encode;;0.020998689;0.017969786;0.016692392;0.012307439;0.011784151;0.015445315
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf16GetBytes;;0.042823442;0.079149126;0.073206813;0.072028802;0.076188567;0.062718504
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf8Encode;;0.043915023;0.041002199;0.030823973;2.04E-02;0.006699343;0.01001682
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf8GetBytes;;0.063742795;0.048386909;0.046028984;0.030351066;0.04652954;0.036689144
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AnnotationVsMarkerInterface.annotationMissing;;0.266828217;0.154717775;0.266252245;0.059298695;0.088388712;0.078490787
