project;commit;benchmark;param;i2;i3;i4;i5;i6;i7;i8;i9;i10
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params;;0.988052725;0.912577156;0.973222524;0.979026394;0.991591448;0.98912964;0.988203372;0.997284105;0.994176421
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2;;0.943937215;0.988019678;0.979833517;0.993244695;0.994471338;0.994474178;0.993307751;0.976898122;0.986318861
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV3;;0.973387853;0.35980932;0.955418743;0.976130912;0.989182639;0.99158922;0.985966939;0.992955789;0.946710152
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params;;0.42291103;0.862517682;0.924422637;0.985627333;0.971116198;0.994694468;0.986104164;0.952789863;0.981021261
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV2;;0.933687428;0.838537122;0.955630873;0.994547999;0.995138147;0.977815625;0.967435077;0.996049572;0.967891921
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV3;;0.733158997;0.957644308;0.984822525;0.986477616;0.975060952;0.996717881;0.990295261;0.997669509;0.99031084
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7Params;;0.059744313;0.994813757;0.972459052;0.86199734;0.852089707;0.864033961;0.97570756;0.94600763;0.996083047
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7ParamsV2;;0.964820919;0.836036154;0.98106152;0.917428515;0.946129947;0.979582904;0.943344282;0.997649755;0.989982574
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7ParamsV3;;0.170832119;0.941365744;0.963772904;0.733204641;0.960308411;0.995099596;0.994359321;0.997848255;0.994562152
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9Params;;0.930641715;0.979270863;0.375634643;0.983485016;0.979149167;0.923820364;0.945284531;0.977384041;0.972700294
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9ParamsV2;;0.200903883;0.985680426;0.991646016;0.612018812;0.82685463;0.988432349;0.9790717;0.953389139;0.617416999
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9ParamsV3;;0.545294075;0.922292526;0.966845948;0.982765599;0.98938808;0.991731112;0.990696341;0.996039731;0.993682462
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.baseline;;0.97103963;0.997311677;0.986885458;0.979600299;0.994651881;0.998204007;0.967057829;0.96826494;0.994983345
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1Encode;;0.813108797;0.899963978;0.976217692;0.990467374;0.997561471;0.994788368;0.990611128;0.996119496;0.993304114
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1GetBytes;;0.89779376;0.916891404;0.919976576;0.994376158;0.994163953;0.984935646;0.986138469;0.997667843;0.998618319
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiEncode;;0.974540048;0.517867294;0.983904087;0.622111665;0.472360832;0.985476222;0.986885888;0.992380326;0.985162321
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiGetBytes;;0.60343211;0.99603947;0.984627863;0.997160206;0.998727875;0.997493593;0.992153174;0.996105818;0.998333167
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf16Encode;;0.050644172;0.271718786;0.947388501;0.248417315;0.986021465;0.99405881;0.991595368;0.996086864;0.997939884
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf16GetBytes;;0.956007021;0.99459793;0.990790107;0.997966484;0.997120933;0.995327636;0.983168107;0.992836374;0.995723105
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf8Encode;;0.650459599;0.936535256;0.984581033;0.993097601;0.965399716;0.992137322;0.995497867;0.954829555;0.997628278
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf8GetBytes;;0.972454624;0.985340602;0.8657634;0.959350702;0.986358732;0.98444672;0.992308285;0.996370893;0.991576128
