project;commit;benchmark;param;i6;i7;i8;i9;i10
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params;;0.06600387;0.089208778;0.032205948;0.025288581;0.02446488
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2;;0.069319737;0.020559793;0.023539901;0.005578507;0.008448405
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV3;;0.683976338;0.684583718;0.058999468;0.090740314;0.09042209
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params;;0.598973339;0.106859639;0.036864755;0.022781184;0.0150391
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV2;;0.170735949;0.169504621;0.039107188;0.003933669;0.078702025
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV3;;0.232195334;0.020484778;0.011349485;0.014169982;0.012813944
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7Params;;0.936425946;0.003057888;0.045783832;0.242768244;0.160821431
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7ParamsV2;;0.116085297;0.155478661;0.052533578;0.046229912;0.046693983
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7ParamsV3;;0.834509269;0.376092003;0.385723569;0.388318231;0.01247508
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9Params;;0.297710423;0.30836648;0.296505188;0.308130387;0.673337844
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9ParamsV2;;0.654457571;0.126285773;0.249281693;0.262489196;0.160625881
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9ParamsV3;;0.442834445;0.106509954;0.020912945;0.020550535;0.013347244
;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.baseline;;0.118894929;0.040662039;0.038918325;0.043433148;0.042215547
;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1Encode;;0.186462792;0.191293903;0.193442285;0.211416978;0.220502026
;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1GetBytes;;0.154928833;0.146403325;0.009057488;0.019403786;0.014324672
;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiEncode;;0.347867561;0.345917905;0.01649167;0.023844035;0.024214284
;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiGetBytes;;0.368657125;0.017008138;0.015840589;0.008717657;0.003195866
;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf16Encode;;0.747708337;0.753085525;0.753891677;0.756646214;0.712541172
;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf16GetBytes;;0.039388473;0.001861277;0.002206827;0.002580343;0.003642735
;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf8Encode;;0.295718559;0.070365293;0.024687549;0.032526507;0.077530526
;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf8GetBytes;;0.138594436;0.146706553;0.146409743;0.090842674;0.016244869
;;org.apache.logging.log4j.perf.jmh.AnnotationVsMarkerInterface.annotationMissing;;0.578080627;0.64993601;0.090608542;0.06522929;0.071026035
;;org.apache.logging.log4j.perf.jmh.AnnotationVsMarkerInterface.annotationPresent;;0.78916307;0.112299572;0.124415725;0.039511039;0.035157037
;;org.apache.logging.log4j.perf.jmh.AnnotationVsMarkerInterface.interfaceImplemented;;0.445101044;0.283958464;0.461207523;0.297326528;0.306989826
;;org.apache.logging.log4j.perf.jmh.AnnotationVsMarkerInterface.interfaceNotImpl;;0.030717526;0.036246585;0.036050899;0.038190716;0.009854951
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput10Params;;0.01010513;0.004293681;0.003274154;0.003844498;0.001166923
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput11Params;;0.020089524;0.013786124;0.284945467;0.156518793;0.286653375
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput1Param;;0.066762774;0.04373215;0.055862229;0.076057571;0.054341324
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput2Params;;0.070925417;0.066493601;0.075779583;0.004901109;0.005417104
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput3Params;;0.226292781;0.321399076;0.28098308;0.323699277;0.209090977
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput4Params;;0.25830622;0.282079324;0.291821055;0.279296914;0.024618106
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput5Params;;0.012843933;0.044425282;0.051062288;0.048775968;0.040835066
