project;commit;benchmark;param;i10;i100;factor
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params;;0.994176421;0.993129051;0.998946495
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2;;0.986318861;0.99789177;1.011733436
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV3;;0.946710152;0.9958633;1.051919954
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params;;0.981021261;0.996054295;1.015323862
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV2;;0.967891921;0.97681884;1.009223054
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV3;;0.99031084;0.995365192;1.005103804
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7Params;;0.996083047;0.992870235;0.996774554
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7ParamsV2;;0.989982574;0.996156898;1.006236801
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7ParamsV3;;0.994562152;0.997138221;1.002590154
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9Params;;0.972700294;0.994988047;1.022913279
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9ParamsV2;;0.617416999;0.987005475;1.598604309
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9ParamsV3;;0.993682462;0.994164926;1.000485531
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.baseline;;0.994983345;0.995246102;1.000264082
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1Encode;;0.993304114;0.994778172;1.001483995
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1GetBytes;;0.998618319;0.98525057;0.986613755
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiEncode;;0.985162321;0.996670716;1.011681725
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiGetBytes;;0.998333167;0.995617055;0.997279353
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf16Encode;;0.997939884;0.862473585;0.864254049
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf16GetBytes;;0.995723105;0;0
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf8Encode;;0.997628278;0.994609369;0.996973914
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf8GetBytes;;0.991576128;0.997864058;1.006341349
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AnnotationVsMarkerInterface.annotationMissing;;0.701761747;0.996530382;1.420040899
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AnnotationVsMarkerInterface.annotationPresent;;0.971139359;0.993544397;1.023070878
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AnnotationVsMarkerInterface.interfaceImplemented;;0.992674504;0.994641598;1.00198161
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AnnotationVsMarkerInterface.interfaceNotImpl;;0.995537114;0.991823085;0.996269321
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput10Params;;0.997039064;0.9950017;0.997956586
