project;commits;benchmarks;params;forks;iteration1;iteration2;iteration3;iteration4;iteration5;time
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib;;2;15;20;0;0;0;56.51199999999999
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib;;4;24;20;20;27;0;134.9312
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor;;5;14;24;24;30;31;178.31359999999998
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist;;5;17;19;14;10;14;127.1968
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator;;3;13;17;19;0;0;81.1168
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized;;2;6;10;0;0;0;36.691199999999995
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy;;4;16;14;12;13;0;97.376
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy;;5;16;18;13;25;18;143.88799999999998
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddyWithTypePool;;5;20;27;28;13;18;160.5792
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline;;2;10;13;0;0;0;43.9936
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist;;5;12;11;14;15;12;116.7648
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline;;2;14;7;0;0;0;41.9072
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib;;3;17;22;18;0;0;89.4624
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool;;2;17;19;0;0;0;57.5552
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool;;5;20;16;20;20;13;142.8448
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist;;5;14;11;14;18;19;129.2832
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithPrefix;;2;10;12;0;0;0;42.9504
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy;;5;16;16;13;20;22;140.7584
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy;;2;14;13;0;0;0;48.166399999999996
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline;;3;12;18;12;0;0;73.8144
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy;;5;18;14;15;14;19;133.456
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixWithTypePool;;5;30;19;16;10;23;152.2336
byte-buddy;;net.bytebuddy.benchmark.StubInvocationBenchmark.baseline;;2;11;6;0;0;0;37.734399999999994
byte-buddy;;net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJdkProxy;;5;15;15;17;21;15;136.5856
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib;;5;15;19;14;23;20;144.9312
byte-buddy;;net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy;;2;6;6;0;0;0;32.5184
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.baseline;;5;16;10;11;9;16;114.6784
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithAccessor;;5;19;38;16;24;17;168.9248
byte-buddy;;net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkCglib;;2;6;6;0;0;0;32.5184
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix;;5;17;20;17;20;15;142.8448
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorWithTypePool;;5;16;15;22;20;27;154.32
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist;;4;22;23;18;27;0;133.88799999999998
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegatorWithTypePool;;5;20;13;22;20;13;141.8016
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator;;5;10;20;16;11;24;134.49919999999997
byte-buddy;;net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJavassist;;5;19;19;23;18;11;143.88799999999998
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool;;5;24;15;21;27;23;164.752
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized;;3;19;13;20;0;0;84.2464
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy;;5;22;16;14;16;14;135.5424
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator;;5;34;17;28;25;32;191.87519999999998
