project;benchmarks;avgReachedForkCov;stdReachedForkCov;avgReachedIterationCov;stdReachedIterationCov;perForkNotStableCov;perIterationNotStableCov;avgReachedForkCi;stdReachedForkCi;avgReachedIterationCi;stdReachedIterationCi;perForkNotStableCi;perIterationNotStableCi;avgReachedForkDivergence;stdReachedForkDivergence;avgReachedIterationDivergence;stdReachedIterationDivergence;perForkNotStableDivergence;perIterationNotStableDivergence
byte-buddy;39;3.58974359;1.192238763;15.63076923;14.27305429;0.205128205;0.051282051;4.179487179;1.317958695;44.93846154;12.78566135;0.666666667;0.841025641;3.948717949;1.299876088;16.17435897;6.065485287;0.384615385;0
jctools;148;3.121621622;1.14434807;14.52972973;7.608525263;0.114864865;0;4.094594595;1.367271093;36.35405405;17.86296326;0.675675676;0.598648649;3.567567568;1.252900215;12.03108108;8.047518094;0.263513514;0.022972973
jenetics;40;3.475;1.284279954;10.915;7.270335274;0.25;0;4.075;1.348842096;30.345;20.0465951;0.675;0.44;3.75;1.355544171;12.73;9.067364556;0.325;0.01
jmh-core-benchmarks;110;2.736363636;1.075996559;20.19090909;5.723786818;0.081818182;0;2.563636364;1.132393063;20.46181818;13.81545236;0.118181818;0.14;3.890909091;1.323531464;13.18727273;5.547105864;0.418181818;0.007272727
jmh-jdk-microbenchmarks;1381;3.063721941;1.166883267;18.71614772;10.29654195;0.112237509;0.017668356;3.128892107;1.405754493;30.3474294;17.86041102;0.327299059;0.38884866;3.963070239;1.247478727;13.71947864;6.880606188;0.42795076;0.009123823
log4j2;510;3.515686275;1.23143031;22.41529412;10.85886651;0.198039216;0.013333333;3.956862745;1.392593138;40.10392157;14.58413671;0.611764706;0.636078431;4.321568627;1.062057516;13.56313725;6.991460755;0.57254902;0.012941176
protostuff;31;3.451612903;1.240153728;19.78709677;9.184831181;0.225806452;0;3.161290323;1.416419252;37.96129032;13.3860225;0.290322581;0.406451613;4.161290323;1.109977454;13.81290323;6.378175588;0.419354839;0.006451613
rxjava;1282;3.017160686;1.156822827;17.11513261;9.07403276;0.108424337;0.00374415;2.95475819;1.348534761;37.01170047;16.28832513;0.275351014;0.457566303;4.206708268;1.126278891;15.3524181;7.061363393;0.48673947;0.005304212
squidlib;367;2.861035422;1.022782451;17.40926431;6.715212812;0.051771117;0;3.686648501;1.438062367;36.09264305;17.02772624;0.51226158;0.526975477;3.983651226;1.167103482;12.95967302;5.984858998;0.435967302;0.002179837
zipkin;61;3.344262295;1.199525123;30.72786885;11.80502992;0.163934426;0.055737705;3.590163934;1.347457219;42.58360656;14.38762196;0.426229508;0.750819672;4.62295082;0.750167947;13.19672131;5.391005479;0.721311475;0.003278689
;;;;;;;;;;;;;;;;;;;
;;3.097757622;1.157750244;18.52229781;9.43888054;0.119677501;0.010430839;3.278155707;1.377308447;34.62579995;16.62647524;0.379440665;0.467170572;4.082388511;1.172269626;14.08571429;6.864175072;0.462836987;0.008012094
