project;commit;benchmark;params;threshold;f2;f3;f4;f5;reachedForks;reachedF1;reachedF2;reachedF3;reachedF4;reachedF5
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib;;0.01;3.3306075144394487E-4;0.007352022214846779;0.0035853156774565825;0.0028795387819715162;2;23;25;29;22;15
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib;;0.01;0.018380974762219837;0.025328587741069497;2.066441894316151E-5;0.006074504368153599;4;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor;;0.01;0.0022147327800821903;0.015997559051244697;0.008731312899950439;0.0016146308444909274;2;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist;;0.01;0.107325057330248;0.07335115062931641;0.05071057225435438;0.02081092400543416;2147483647;5;9;2147483647;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator;;0.01;0.06280909793524253;0.04429466340644472;0.03974226078401616;0.031722089746596516;2147483647;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized;;0.01;0.12987230405054434;0.05636972642069854;0.036089203917993695;0.016321947196258402;2147483647;6;8;5;23;20
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy;;0.01;0.04765613546382147;0.017184927972669045;0.00682781017671466;0.010642615660762494;4;7;34;37;26;7
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy;;0.01;0.14372912394136786;0.02068168029039097;0.025849258353859955;0.017013070407233877;2147483647;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddyWithTypePool;;0.01;0.02879981078106525;0.18547687571253632;0.02871709825850588;0.008248305377716203;5;43;2147483647;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline;;0.01;0.06005243423911599;0.015597768680043894;0.06996706573546466;0.014500917472203834;2147483647;14;9;15;21;20
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist;;0.01;0.005906430553545561;0.005330923715809094;2.3648382922658584E-4;6.438426879621373E-4;2;19;16;18;22;18
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline;;0.01;0.08634486149897475;0.07792630419469088;0.05853528970457206;0.0031923746850299195;5;33;5;9;41;5
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib;;0.01;0.00895700120988037;0.0033046614693716114;0.0035571153803718725;0.006095078357712329;2;30;29;29;32;32
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool;;0.01;0.010304141764172603;7.77939280234563E-4;0.0013618857986757715;0.138825258482869;3;2147483647;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool;;0.01;0.23119897555837196;0.0517686637891247;0.03295194930588513;0.07084511103024516;2147483647;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist;;0.01;0.03958943336276105;0.01286190031419343;0.0027744520930045313;0.0012678361064808463;4;5;13;10;6;6
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithPrefix;;0.01;0.15042790724782018;0.035059303978628914;0.007348596010838621;0.0055514128309049615;4;47;37;20;6;19
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy;;0.01;0.06087684446303078;0.10797546999734378;0.03634275701778539;0.01392659065058377;2147483647;28;28;5;5;46
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy;;0.01;0.016560902337993302;0.0032956805573188808;0.0012259982115270518;0.00641350843755735;3;50;20;35;50;16
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline;;0.01;0.060115056308071985;0.029097413587991255;0.017604578121057174;0.0054981885599299785;5;9;8;17;13;14
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy;;0.01;0.11572749581501773;0.009968088333020098;0.0029470170672619145;0.0012630673254716562;3;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixWithTypePool;;0.01;0.03270140538398303;0.009614356286523656;0.002837307801007688;0.003092365230260935;3;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.StubInvocationBenchmark.baseline;;0.01;0.002836177809229833;0.002312653947540195;0.006391146456527535;4.893574670165185E-4;2;24;17;15;26;25
byte-buddy;;net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJdkProxy;;0.01;0.07702558451483249;0.04548989615669055;0.030602436195071497;0.015972938002259324;2147483647;48;43;46;2147483647;40
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib;;0.01;0.0029239783150857845;0.039058628013154906;0.007990387984068703;0.015595873099774615;2;5;5;44;37;6
byte-buddy;;net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy;;0.01;0.01213223329152003;0.005464101394192528;0.002993662725095155;0.002351333818493232;3;13;19;27;19;11
byte-buddy;;net.bytebuddy.benchmark.TrivialClassCreationBenchmark.baseline;;0.01;5.575579648454329E-4;0.001709959495023998;0.0030190654271434816;0.003170319645624982;2;18;20;27;23;21
byte-buddy;;net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithAccessor;;0.01;0.0040663485006632305;0.005910657677640568;0.1192691914963521;0.02017858005577966;2;38;2147483647;2147483647;5;47
byte-buddy;;net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkCglib;;0.01;0.0020551818793665827;0.0053196660910297955;0.0017350189158725632;0.0016647044496340552;2;17;14;17;16;12
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix;;0.01;0.039400027540445415;0.005922682844970384;0.002215923881832116;0.007210395962726213;3;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorWithTypePool;;0.01;0.0617313877192599;9.743987731846426E-4;8.144998187423202E-4;0.0010563697348984213;3;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist;;0.01;0.03259173746947025;0.0013220896095001988;0.012551728711796939;0.007652316598060552;3;5;14;5;12;17
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegatorWithTypePool;;0.01;0.10343556012813598;0.025840727450328838;0.005174185420373345;0.016033028367461483;4;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator;;0.01;0.013097068459939076;0.036025326300621385;0.006671623568091811;0.012792632023593264;4;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJavassist;;0.01;0.011363941930992938;0.028438555135322757;0.08634040907980892;0.005905557867626532;5;2147483647;2147483647;2147483647;5;2147483647
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool;;0.01;0.1675191729346195;0.055909350163022065;0.03318176733930206;0.003733012329350971;5;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized;;0.01;0.02960318685931823;0.0020872725611450482;0.09470637784710961;0.015825843785168936;3;5;5;5;5;5
byte-buddy;;net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy;;0.01;0.001339756827453041;0.004337409540232616;0.010515130551825166;0.0019428009402682744;2;18;8;14;18;18
byte-buddy;;net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator;;0.01;0.018818451432160807;0.09746755351908756;0.005153645343665164;0.013336653043381552;4;5;5;5;5;5
