project;commit;benchmark;params;threshold;f2;f3;f4;f5;reachedForks;reachedF1;reachedF2;reachedF3;reachedF4;reachedF5
jctools;;org.jctools.jmh.collections.SetOps.remove;keyBound=2048&occupancy=512&size=1024&type=org.jctools.sets.OpenHashSet;0.99;0.6487938637412826;0.7774531656198802;0.7836620216873782;0.735126967442902;2147483647;14;12;10;13;9
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArgBaseline;limit=1;0.99;0.8626636559293293;0.9838313149418402;0.9277741715966623;0.9902714570021209;5;11;17;13;11;14
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.tenMixedArgs;limit=1;0.99;0.9959661579821942;0.9873539933664776;0.996022747687391;0.9959977534747058;2;6;6;6;6;6
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.bothr;qCapacity=132000&qType=SpmcArrayQueue;0.99;0.9862000241515234;0.9875296690872103;0.9858447010675664;0.9958413037834151;5;11;15;15;13;7
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1&qType=SpmcArrayQueue;0.99;0.9318948725139595;0.2600366099454816;0.9701982971982503;0.9952926504885378;5;16;9;9;10;14
jctools;;org.jctools.jmh.throughput.QueueThroughputBackoffNone.tpt;qCapacity=132000&qType=SpmcArrayQueue;0.99;0.9008912282084391;0.9972644732434574;0.9950759074001742;0.9959269564526941;3;7;7;9;10;10
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=100&qType=SpscArrayQueue;0.99;0.9884443561187033;0.9935575137916085;0.9945954268111045;0.9963035183441424;3;9;10;8;8;8
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=10&qType=MpmcArrayQueue;0.99;0.9774062345484756;0.9906560917892503;0.9923843328238033;0.9951127240029937;3;10;8;13;10;12
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneReferenceArgBaseline;limit=10000;0.99;0.994974726962377;0.9114431256232222;0.8931616506387245;0.7593871741293348;2;11;10;17;19;15
jctools;;org.jctools.jmh.latency.QueueBurstCost.burstCost;burstSize=100&consumerCount=1&qCapacity=132000&qType=MpmcArrayQueue&warmup=true;0.99;0.7632859104563791;0.9768870933680077;0.9946537489910965;0.988864637659601;4;9;14;9;9;8
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.pr;qCapacity=132000&qType=MpscArrayQueue;0.99;0.8764215794167496;0.8854584897211734;0.1790806118913329;0.9879665817626191;2147483647;32;20;9;22;2147483647
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.cr;qCapacity=132000&qType=SpmcArrayQueue;0.99;0.9740630525277161;0.9051349010454359;0.9911027957246925;0.9946707022748883;4;7;8;9;9;8
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.noArgsBaseline;limit=128000;0.99;0.43242427091367586;0.7141902730753988;0.990127695202248;0.9917748132584742;4;13;12;12;14;12
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneObjectArg;limit=1;0.99;0.9683346003931748;0.9861994205248816;0.9976979343378535;0.9969991855823941;4;8;11;13;19;9
jctools;;org.jctools.jmh.throughput.QueueThroughputBackoffNone.tpt;qCapacity=132000&qType=MpscArrayQueue;0.99;0.9579063433440582;0.985511083187199;0.9928855500996403;0.9731588366576434;4;9;9;18;15;8
jctools;;org.jctools.jmh.collections.SetOps.remove;keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet;0.99;0.0;0.9624653780743796;0.9850049923720917;0.9816580254256447;2147483647;10;9;10;10;11
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneObjectArg;limit=128000;0.99;0.979332880422297;0.9906901294148052;0.9958798305878122;0.9947662293743372;3;7;9;6;8;7
jctools;;org.jctools.jmh.baseline.SingleThreadedOffer.offerLoop;qType=MpscArrayQueue;0.99;1.0;1.0;1.0;1.0;2;6;6;6;6;6
jctools;;org.jctools.jmh.throughput.MpqDrainFillThroughputBackoffNone.normal;qCapacity=132000&qType=SpscArrayQueue;0.99;0.34401379399185444;0.8657771296483621;0.9632895253611924;0.9424358255082801;2147483647;7;8;11;22;10
jctools;;org.jctools.maps.nbhm_test.jmh.ConcurrentMapThroughput.randomGetPutRemove;implementation=NonBlockingHashMap&readRatio=50&tableSize=100000;0.99;0.9914086146306802;0.9972245396320232;0.9978727759833171;0.997027205686652;2;6;6;6;6;6
jctools;;org.jctools.jmh.throughput.channels.ChannelThroughputBackoffNone.tpt;capacity=132000&type=Mpsc;0.99;0.9895749779904771;0.9948492588324336;0.9879138070352943;0.9952658106670322;3;22;2147483647;8;19;11
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=100&qType=SpmcArrayQueue;0.99;0.9904300215077376;0.9960826887590465;0.9920012639023075;0.9922349745396204;2;16;7;9;7;8
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.noArgsBaseline;limit=1;0.99;0.31057574885026296;0.5412315830057516;0.751340664165817;0.9940518962427426;5;14;14;11;9;8
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline;limit=10000;0.99;0.27299033556678554;0.9552215823247108;0.9639437077259045;0.9580683509380205;2147483647;10;13;12;13;13
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.unalignedPrimitiveArgs;limit=1;0.99;0.9963996550977428;0.9780201919573427;0.9972315010400381;0.9955275393146806;2;24;11;9;15;8
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.unalignedPrimitiveArgs;limit=10000;0.99;0.992008192201884;0.9991914745993721;0.9970173174961259;0.9958292682411171;2;6;6;6;6;6
