project;commit;benchmark;params;meanDefault;meanCov;meanCi;meanKld;ciPercentageDefault;ciPercentageCov;ciPercentageCi;ciPercentageKld;effectSizeCov;effectSizeCi;effectSizeKld;wilcoxonCov;wilcoxonCi;wilcoxonKld;ratioMeanCov;ratioLowerCov;ratioUpperCov;ratioMeanCi;ratioLowerCi;ratioUpperCi;ratioMeanKld;ratioLowerKld;ratioUpperKld
jctools;;org.jctools.jmh.collections.SetOps.remove;keyBound=2048&occupancy=512&size=1024&type=org.jctools.sets.OpenHashSet;3.990139013901245E-8;3.9925262631313924E-8;3.95245573672092E-8;3.926425285056969E-8;0.012108856153294798;0.001695414066501562;0.036311448704042404;0.03737363342216708;0.007706203336691848;0.18140885810097465;0.2942099070879282;0.3453495027755561;2.4500169035936967E-109;2.877965882462591E-284;1.002152;0.9975231;1.007443;0.9902629;0.9785869;0.9996322;0.9798224;0.9710818;0.9912651
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArgBaseline;limit=1;3.8416883376676774E-8;3.8534100000001534E-8;3.851630326065364E-8;3.8432886577316965E-8;0.018562405582781792;0.018229050401138917;0.017802618681311506;0.0206672396435469;0.07923387677535507;0.06684227423600343;0.0028740848169633926;2.916139823855179E-22;2.7128824632110347E-16;0.7248565153195168;1.008911;1.001957;1.012825;1.007584;1.000672;1.011645;1.001129;0.999626;1.002715
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.tenMixedArgs;limit=1;2.625704366812234E-6;2.4975709289617598E-6;2.642350740537586E-6;2.6562157790492963E-6;0.07036471527885003;0.17659380804240749;0.08819574157237446;0.10941809374185664;0.036842675448015845;0.0028560700606275464;0.0036453057480306476;1.5793652839697384E-5;0.7381075325834192;0.6698809458242032;0.942244;0.8443597;0.9780417;1.003211;0.9969306;1.009207;1.007747;1.001277;1.016104
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.bothr;qCapacity=132000&qType=SpmcArrayQueue;1.2934426885377013E-7;1.2947864786478597E-7;1.2848604581374437E-7;1.2961652330466127E-7;0.07191725300736038;0.06593221517471551;0.11393123700748994;0.07141792583451805;0.031071780912838232;0.02082136943543555;0.023894927015008924;1.4173553732685002E-4;0.010781441328755631;0.0034318200623716945;1.01844;1.007981;1.021968;0.9840468;0.9555344;1.005531;0.9916142;0.9834942;0.9938101
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1&qType=SpmcArrayQueue;7.146013601359994E-7;7.142756827048023E-7;7.168984796959204E-7;7.134715414624268E-7;0.034827303833913484;0.045219729890173796;0.021784573072094467;0.029439037095357234;0.025117846385018617;0.031023846533483113;0.06666922061015183;0.0020986063008856435;1.4513480187718363E-4;3.2396472052315966E-16;1.003331;1.001745;1.004731;1.003697;1.002955;1.004842;0.9975608;0.9924862;1.000902
jctools;;org.jctools.jmh.throughput.QueueThroughputBackoffNone.tpt;qCapacity=132000&qType=SpmcArrayQueue;1.5054056216865328E-7;1.4989908990899324E-7;1.459447944794507E-7;1.5046724017205454E-7;0.3646297777715713;0.10505467329502075;0.33094177415195886;0.11307572191110428;0.02431929698921678;0.0351383642915657;0.020348068617004743;0.002900213890396066;1.6848932294682123E-5;0.012709481865443661;0.969627;0.8822973;1.081781;0.868632;0.7895977;0.9089302;0.9776562;0.8842462;1.087691
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=100&qType=SpscArrayQueue;1.2131590318063631E-6;1.2376131999999988E-6;1.2206661332266485E-6;1.2350177053115925E-6;0.038804570729894794;0.04283375567248891;0.055662707982314805;0.048870284487064486;0.06921721344268854;0.02694560716504173;0.06121815538359617;2.316576600247484E-17;9.677551704937782E-4;6.561943639069695E-14;1.021342;1.015032;1.022213;1.000267;0.994793;1.002119;1.01686;1.010265;1.018264
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=10&qType=MpmcArrayQueue;1.8518463692738601E-6;1.8937678071228456E-6;1.8239080999999976E-6;1.833990600000009E-6;0.03921362137477457;0.0898557888310805;0.07049629810207539;0.09124978211608856;0.0672441611171374;0.06025818163632726;0.01758725;1.8068187460980996E-16;1.588417266746609E-13;0.03124522451670968;1.04603;1.002045;1.060252;0.9983354;0.9798304;1.011781;1.007625;0.9795498;1.036771
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneReferenceArgBaseline;limit=10000;3.650660000000322E-8;3.622220000000348E-8;3.6178300000003604E-8;3.614701470147376E-8;0.03812929580442993;0.004889370030804064;0.005859289162470913;0.00408364938435402;0.15866993;0.17368537;0.17761475147514752;4.0964365691467396E-84;2.0852856189146138E-100;6.586271097440254E-105;0.9886756;0.9677536;0.9996329;0.9889677;0.9667082;1.000074;0.9887053;0.9655184;1.000017
jctools;;org.jctools.jmh.latency.QueueBurstCost.burstCost;burstSize=100&consumerCount=1&qCapacity=132000&qType=MpmcArrayQueue&warmup=true;2.456892799999996E-5;2.2887409540954212E-5;2.474015839999997E-5;2.339863919999994E-5;0.025449698681947148;0.2466389197792396;0.030838442766735443;0.19892150937830821;0.1842863786378638;0.08422908;0.14458177;8.690522361161485E-113;5.987135128374347E-25;3.6940007655636836E-70;0.9183426;0.7734653;0.9973242;1.002067;0.9979765;1.010462;0.9577859;0.8472982;0.9963023
