project;commit;benchmark;params;threshold;f2;f3;f4;f5;reachedForks;reachedF1;reachedF2;reachedF3;reachedF4;reachedF5
jmh-jdk-microbenchmarks;;org.openjdk.bench.vm.lambda.invoke.AckermannL.inner;;0.03;0.01670838939261653;0.01097628722054909;0.01103353670206601;0.01122885190596413;2;2147483647;2147483647;2147483647;2147483647;2147483647
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.lang.StringBuilders.toStringCharWithChar4;;0.03;0.024720451141801467;0.042476911141829325;0.03146838426733252;0.02687179086968474;2;2147483647;2147483647;2147483647;2147483647;2147483647
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.util.stream.ops.value.FindAny.seq_invoke;size=100000;0.03;0.024619199463164737;0.021657924360124006;0.030376863660131766;0.022521212686138666;2;48;43;32;43;2147483647
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.util.stream.ops.ref.AllMatchShort.seq_end;offset=100&size=100000;0.03;0.016047012247302303;0.017743416063721176;0.021663525000381174;0.01884610418053968;2;2147483647;2147483647;2147483647;2147483647;2147483647
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.lang.ArrayCopyUnalignedSrc.testInt;length=1;0.03;0.040075906501977086;0.03942346567369639;0.037093055923347606;0.037183910551295996;2147483647;7;13;10;7;14
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.lang.invoke.MethodHandleAsCollector.testCollector;;0.03;0.029144945360287028;0.017372736505475505;0.03186323656481027;0.02704279892083066;2;2147483647;2147483647;17;29;40
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.util.stream.ops.ref.ReduceBase.par_chain_123;size=100000;0.03;0.05455043551626133;0.058396249115026166;0.09859562267686428;0.12328035483073893;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.lang.invoke.MethodHandleBindToCurry.baselineRaw;;0.03;0.06058953452712136;0.06351739700937503;0.04353157885324352;0.03192089987356965;2147483647;11;23;10;10;12
jmh-jdk-microbenchmarks;;org.openjdk.bench.vm.lambda.capture.Capture0.inner_this_8;;0.03;0.015209750228525224;0.06928226012053577;0.03969705878046336;0.05257126392372316;2;33;27;28;30;44
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.util.stream.ops.value.AnyMatchShort.seq_mid;offset=100&size=100000;0.03;0.00562877587110208;0.003490280145232918;0.004570904030901543;0.003110499520706807;2;2147483647;2147483647;2147483647;2147483647;2147483647
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.lang.invoke.MethodHandlesFoldArguments.invoke_Target;;0.03;0.03842799811583472;0.033974434839802496;0.036338540404669765;0.04435009212775226;2147483647;13;8;14;5;10
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.lang.Longs.toStringBig;size=500;0.03;0.02475194642633991;0.029333705213548587;0.01706250714271065;0.03302975429366915;2;2147483647;2147483647;2147483647;2147483647;2147483647
jmh-jdk-microbenchmarks;;org.openjdk.bench.vm.lang.LockUnlock.testRecursiveLockUnlock;innerCount=100;0.03;0.007374752429211491;0.009038419429144719;0.00601950582706365;0.009309467124777907;2;9;9;10;11;10
