project;commit;benchmark;params;threshold;f2;f3;f4;f5;reachedForks;reachedF1;reachedF2;reachedF3;reachedF4;reachedF5
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40;;0.99;0.6616129765494069;0.635970751223199;0.9255643854712796;0.9892269402409117;2147483647;2147483647;48;2147483647;16;2147483647
jenetics;;io.jenetics.util.SeqPerf.arrayList_set;;0.99;1.0;1.0;1.0;1.0;2;6;6;6;6;6
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160;;0.99;0.3569221707471405;0.9648420155061375;0.9644079949859989;0.9668600396906799;2147483647;2147483647;6;46;6;50
jenetics;;io.jenetics.util.SeqPerf.arrayList_contains;;0.99;0.3172448595464278;0.8110756514066376;0.7886621422127927;0.9565067466386709;2147483647;9;33;33;50;11
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160;;0.99;0.95291644561447;0.9137571048736092;0.9461983349537075;0.9744853441664169;2147483647;23;12;40;23;29
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10;;0.99;0.0;0.9717514187692279;0.9654087744021613;0.9703308638542767;2147483647;17;21;25;6;30
jenetics;;io.jenetics.util.SeqPerf.mseq_get;;0.99;1.0;1.0;1.0;1.0;2;6;6;6;6;6
jenetics;;io.jenetics.util.SeqPerf.arrayList_forLoop;;0.99;1.0;1.0;1.0;1.0;2;6;6;6;6;6
jenetics;;io.jenetics.util.SeqPerf.mseq_copy;;0.99;1.0;1.0;1.0;1.0;2;17;6;12;6;19
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20;;0.99;0.43274048671476484;0.9639283598941006;0.9890637373518794;0.9583120142143342;2147483647;21;12;2147483647;38;45
jenetics;;io.jenetics.util.SeqPerf.array_copy;;0.99;1.0;1.0;1.0;1.0;2;10;6;9;6;12
jenetics;;io.jenetics.util.SeqPerf.array_get;;0.99;1.0;1.0;1.0;1.0;2;6;6;6;6;6
jenetics;;io.jenetics.internal.util.IndexSorterPerf.heapSort160;;0.99;0.885063399547299;0.9297470755813247;0.9006249646740226;0.9381356448409413;2147483647;23;14;25;14;34
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20;;0.99;0.7760914245160506;0.9324787344742478;0.9849952000183796;0.9667355138852405;2147483647;25;7;26;6;28
jenetics;;io.jenetics.util.SeqPerf.mseq_set;;0.99;1.0;1.0;1.0;1.0;2;6;6;6;6;6
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250;;0.99;0.9535633965700991;0.9590856932428762;0.9888738429452432;0.9965530327060779;5;28;10;30;10;32
jenetics;;io.jenetics.internal.util.IndexSorterPerf.insertionSort250;;0.99;0.9013384371693731;0.9675299679908067;0.9580340972628646;0.9930809143810018;5;21;40;2147483647;6;28
jenetics;;io.jenetics.internal.util.IndexSorterPerf.insertionSort320;;0.99;0.8846018037473586;0.8407619133131329;0.9769496182548926;0.9786038986231577;2147483647;24;6;29;7;27
