project;commit;benchmark;params;meanDefault;meanCov;meanCi;meanKld;ciPercentageDefault;ciPercentageCov;ciPercentageCi;ciPercentageKld;effectSizeCov;effectSizeCi;effectSizeKld;wilcoxonCov;wilcoxonCi;wilcoxonKld;ratioLowerCov;ratioUpperCov;ratioLowerCi;ratioUpperCi;ratioLowerKld;ratioUpperKld
jenetics;;io.jenetics.internal.util.IndexSorterPerf.heapSort160;;1.0883720000000002E-5;1.101731773177323E-5;1.090163576357637E-5;1.0959438400000028E-5;0.04311302989941679;0.055811704335960596;0.045533665819410804;0.05192400608972314;0.18047944794479448;1.7079707970797079E-4;0.07094754;2.9560204986274357E-108;0.9833116750572731;3.654945239782211E-18;0.9956388;1.012894;0.9899979;0.9982725;1.001901;1.013371
jenetics;;io.jenetics.internal.util.IndexSorterPerf.heapSort250;;2.003445759999976E-5;2.0153567999999833E-5;2.0091465599999817E-5;2.0140950399999792E-5;0.015094637137398085;0.02978594006401155;0.030914653478060404;0.02228276734455568;0.07239835;0.02134354;0.08753138;7.532585676149204E-19;0.0089495907866693;8.192103299103569E-27;0.9921011;1.005555;0.9914195;1.007396;0.9998927;1.007246
jenetics;;io.jenetics.internal.util.IndexSorterPerf.heapSort320;;2.6288902400000207E-5;2.647120320000002E-5;2.6489804180418044E-5;2.6432515200000135E-5;0.010165459191182228;0.019885667326437994;0.01485320455321095;0.020035242597390014;0.14972892;0.21744023402340235;0.08438191;4.1535987236121327E-75;3.0882399523873967E-156;4.926241168381695E-25;1.001665;1.011961;1.005308;1.008836;0.9993486;1.009282
jenetics;;io.jenetics.internal.util.IndexSorterPerf.heapSort80;;5.6470151015101755E-6;5.701160000000027E-6;5.703017600000001E-6;5.6933976000000036E-6;0.018115324395776636;0.030785263188140333;0.035176946793281906;0.042778128335437204;0.09857862786278627;0.21412482248224823;0.12125144514451446;1.4711022445539E-33;1.4333899442444241E-151;7.012498051799154E-50;1.004392;1.018942;0.9992263;1.018464;0.9990329;1.023824
jenetics;;io.jenetics.internal.util.IndexSorterPerf.insertionSort160;;1.6883297599999935E-5;1.6770291199999952E-5;1.6957868799999977E-5;1.708140160000008E-5;0.023232952595305143;0.043488286960437786;0.0421558424567518;0.04053461435260095;0.07899891;0.08032554;0.17030258;3.846810850462782E-22;7.755122868340616E-23;1.3112785035686309E-96;0.975196;0.998275;0.9921746;1.01128;1.002921;1.019332
jenetics;;io.jenetics.internal.util.IndexSorterPerf.insertionSort250;;3.764422400000001E-5;3.920573440000001E-5;3.802786559999993E-5;3.7899667200000114E-5;0.03577841418298735;0.03439161531516242;0.04496980922431916;0.04472353664369892;0.4767246;0.11548721;0.06478867;0.0;2.037251271267053E-45;2.1090145997426104E-15;1.049424;1.055627;1.006288;1.013609;1.01191;1.021476
jenetics;;io.jenetics.internal.util.IndexSorterPerf.insertionSort320;;6.0417958400000096E-5;6.161649280000004E-5;6.068614400000042E-5;6.0670656000000056E-5;0.049941887463435794;0.04477864326842561;0.04434931115206856;0.04247061531273376;0.25734703;0.04469969;0.05141274;4.977048314063164E-218;4.389103266159961E-8;3.0426160946508063E-10;1.014226;1.018316;1.000286;1.007638;1.004704;1.010238
jenetics;;io.jenetics.internal.util.IndexSorterPerf.insertionSort80;;4.496375237523752E-6;4.483621962196276E-6;4.533336133613361E-6;4.54990775387693E-6;0.058659758733354564;0.09948928578800273;0.0807006362861398;0.0642670170524329;0.0500036502300095;0.06781223176823133;0.11892620977955724;9.142002305881013E-10;1.0011799735024354E-16;4.837808269936422E-48;0.9720008;1.008591;0.9823146;1.009885;0.9988663;1.009606
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10;;4.181626325265059E-8;4.178427842784199E-8;4.1916775032509596E-8;4.154300860171895E-8;0.06699786815755794;0.08195719776147135;0.08361440586176358;0.08662969826726216;0.017936020447413815;0.005652846083871171;0.09837365552726468;0.02805723161513622;0.4887956846387034;2.0173193526743033E-33;0.9872577;1.004353;0.9872988;0.9999767;0.9817931;0.9990889
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15;;4.19988000000019E-8;4.223264652930821E-8;4.1872687268728214E-8;4.192835701421087E-8;0.023741513672719854;0.04788480875689986;0.031081940090975625;0.028986656909239635;0.10408624724944988;0.04056921692169217;0.016294196517910746;3.2416731402837496E-37;6.749172990341363E-7;0.046013002923231204;0.9948343;1.020946;0.9924305;0.9995783;0.9934685;0.9970705
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160;;5.8855499999999875E-8;5.809880000000007E-8;5.844619999999928E-8;5.808661732346432E-8;0.18833595278166243;0.2483170884284919;0.20377436444387906;0.22286644694458896;0.06273192;0.03438575;0.049143908781756354;1.555662751435268E-14;2.5393697423140085E-5;1.7612383835242E-9;0.9504884;1.008295;0.9662536;1.014243;0.9308271;0.9730684
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20;;4.388287657531732E-8;4.375462638791872E-8;4.373576788394414E-8;4.372220000000232E-8;0.04590314227584265;0.05332454045091138;0.03717978699206456;0.04447835072076721;0.04037876696075436;0.03265837759848118;0.05837125425085017;7.628982749889098E-7;6.360585288636487E-5;8.776115529260635E-13;0.98744;0.9949028;0.9926172;0.9991136;0.9872165;0.9916949
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250;;6.30841168233645E-8;6.09107910791067E-8;6.38039607921581E-8;6.210653195958713E-8;0.07109000507407547;0.19773998796577116;0.12761763591315942;0.1586535285410766;0.11390342875055659;0.008750249749889966;0.0428244896753683;3.196342222078003E-44;0.2839229280068215;1.5702945527634985E-7;0.8666532;1.013567;1.003348;1.049053;0.9298459;1.023081
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40;;4.9863700000000284E-8;4.9474894978995457E-8;4.8908490849085276E-8;4.924730000000068E-8;0.07894449585150698;0.1532947826278683;0.16312871248309152;0.18696520537188047;0.0027888477695539107;0.11008445844584458;0.05194105;0.7326992946846135;1.9999118153816354E-41;2.0006053097642764E-10;0.9424347;1.008795;0.9235712;1.010104;0.9102114;1.008068
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80;;5.449174917491692E-8;5.313193958187473E-8;5.328432843284251E-8;5.5678735747148906E-8;0.1064686256574684;0.1193562855228719;0.1729822702833105;0.1763376655708563;0.12074002238675403;0.06858647660945713;0.026292707286331755;1.8110021828864374E-49;4.4852299897486074E-17;0.0012825151180224697;0.9490228;0.9737002;0.9754934;1.011688;0.9971228;1.06868
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10;;4.055005500549999E-8;4.040522156646869E-8;4.051385415624624E-8;4.289208920892012E-8;0.02625431958572344;0.033586502605199346;0.04302877898854434;0.2747005815757852;0.0457268693759443;0.003981262385516335;0.16598318497716358;2.1475433417203025E-8;0.625874206641543;7.392999581267323E-92;0.9908202;0.9987488;0.9913949;1.012791;0.9969162;1.261688
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15;;4.125470000000076E-8;4.178315663132902E-8;4.1818200000003105E-8;4.1233723372337954E-8;0.021391158914952073;0.04973307202627777;0.034210284407207324;0.029864763244770658;0.25140687137427487;0.25639352;0.005694369436943694;3.7218025173723704E-208;1.9681880396862656E-216;0.48556494896825253;0.9977308;1.022836;1.010239;1.024671;0.999862;1.006462
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160;;9.88713742748534E-8;9.924134826965185E-8;9.876469999999916E-8;9.983586717343258E-8;0.027297040689187386;0.04183857139521419;0.051739584685170883;0.0564780693690597;0.04023791355590582;0.00826130226045209;0.09236509234233324;8.328766538890732E-7;0.3116705793594524;1.1582434009180739E-29;0.9977208;1.01462;0.981821;1.007681;0.9911299;1.015092
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20;;4.387416224867741E-8;4.434013401340325E-8;4.371217121712427E-8;4.399799979998248E-8;0.03073478243854126;0.08258664873002848;0.03613146235239401;0.046465760064922444;0.1194192641230713;0.022988644768247957;0.03490886249773322;1.974949682347012E-48;0.004875136071718705;1.9121404808725063E-5;0.9942134;1.048462;0.995913;1.006234;0.9949998;1.011772
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250;;1.2974320000000125E-7;1.294882488248825E-7;1.295256525652578E-7;1.3038899449724915E-7;0.0209016132809895;0.047748038601718445;0.03345341253583317;0.03233099443952354;0.03593129312931293;0.005792799279927993;0.06410113056528265;1.080282811713436E-5;0.4780547938581029;4.174489625772766E-15;0.9829379;1.010655;0.986292;0.9986034;0.9971513;1.011475
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40;;4.9642200000000516E-8;4.830786157231525E-8;4.957745774577461E-8;4.9752050410081364E-8;0.03313064497256551;0.036957212994215824;0.03420709347032416;0.06031332403794327;0.41305571114222844;0.01629032903290329;0.01734750950190038;0.0;0.04603743408129728;0.033631031764998154;0.967707;0.9706292;0.9965077;0.9996795;0.9852216;1.01533
jenetics;;io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80;;6.302030406081253E-8;6.251775532659923E-8;6.314032806561318E-8;6.341534153415356E-8;0.04053527044723438;0.10632941854916571;0.08310678803260486;0.08622902664749797;0.02304632177810975;0.02273031121527366;0.046275371685998365;0.004770092287465654;0.005377002677289108;1.4533152510837359E-8;0.9422496;1.012463;0.9791288;1.022711;0.9714476;1.022952
jenetics;;io.jenetics.util.SeqPerf.arrayList_contains;;5.570895999999707E-7;6.181408999999987E-7;6.060527999999899E-7;5.825766576657544E-7;0.007578862115220808;0.009178697772253486;0.06428808257385779;0.09989959332126896;0.99691648;0.86476642;0.6206739873987399;0.0;0.0;0.0;1.105231;1.109908;1.046159;1.10741;1.008289;1.102911
jenetics;;io.jenetics.util.SeqPerf.arrayList_copy;;0.0;0.0;0.0;0.0;NaN;NaN;NaN;NaN;0.0;0.0;0.0;1.0;1.0;1.0;NaN;NaN;NaN;NaN;NaN;NaN
jenetics;;io.jenetics.util.SeqPerf.arrayList_forEachLoop;;1.004200420042011E-9;1.0036007201440358E-9;1.0051005100510139E-9;1.0061012202440575E-9;0.010712503995530831;0.011292831398714695;0.014633374562048565;0.014206078579670413;4.987096029066799E-4;3.0088017302580343E-4;4.0120035208161744E-4;0.9513009965223497;0.9706066950535828;0.9608141868055048;0.9984771;0.9995667;0.9991044;1.003771;0.9982598;1.002324
jenetics;;io.jenetics.util.SeqPerf.arrayList_forLoop;;1.0014000000000065E-9;1.0007000000000063E-9;1.0017000000000064E-9;1.000500000000006E-9;0.006755002336887183;0.004384877966887582;0.00800153341925539;0.0026197425235885176;1.9999E-4;9.996E-5;2.9998E-4;0.9804593190832006;0.9902323467608423;0.9706931295086002;0.9961115;1.0;0.9993317;1.00076;0.9951533;1.0
jenetics;;io.jenetics.util.SeqPerf.arrayList_get;;1.0014002800560178E-9;1.0014001400140078E-9;1.0012002400480158E-9;1.0005000500050067E-9;0.006517253845339497;0.004156939182671705;0.003957310586954326;0.0032223115087693516;1.9995998399599912E-4;1.999699799931981E-4;5.001100230047009E-4;0.980463716500222;0.9804632284900893;0.9511644161246047;0.9976806;1.0;0.9965337;1.0;0.9974179;1.0
jenetics;;io.jenetics.util.SeqPerf.arrayList_set;;0.0;0.0;0.0;0.0;NaN;NaN;NaN;NaN;0.0;0.0;0.0;1.0;1.0;1.0;NaN;NaN;NaN;NaN;NaN;NaN
jenetics;;io.jenetics.util.SeqPerf.array_copy;;0.0;0.0;0.0;0.0;NaN;NaN;NaN;NaN;0.0;0.0;0.0;1.0;1.0;1.0;NaN;NaN;NaN;NaN;NaN;NaN
jenetics;;io.jenetics.util.SeqPerf.array_forLoop;;0.0;0.0;0.0;0.0;NaN;NaN;NaN;NaN;0.0;0.0;0.0;1.0;1.0;1.0;NaN;NaN;NaN;NaN;NaN;NaN
jenetics;;io.jenetics.util.SeqPerf.array_get;;0.0;0.0;0.0;0.0;NaN;NaN;NaN;NaN;0.0;0.0;0.0;1.0;1.0;1.0;NaN;NaN;NaN;NaN;NaN;NaN
jenetics;;io.jenetics.util.SeqPerf.array_set;;0.0;0.0;0.0;0.0;NaN;NaN;NaN;NaN;0.0;0.0;0.0;1.0;1.0;1.0;NaN;NaN;NaN;NaN;NaN;NaN
jenetics;;io.jenetics.util.SeqPerf.mseq_contains;;6.980195000000619E-7;6.647750000000108E-7;6.758582000000264E-7;6.773605000000151E-7;0.09991999882220885;0.11434040894645323;0.12114842076736537;0.1206156598187889;0.55538563;0.30350227;0.34741406;0.0;2.0564976681030558E-302;0.0;0.9371107;0.9927021;0.9652862;0.9985766;0.9690133;0.9975333
jenetics;;io.jenetics.util.SeqPerf.mseq_copy;;0.0;0.0;0.0;0.0;NaN;NaN;NaN;NaN;0.0;0.0;0.0;1.0;1.0;1.0;NaN;NaN;NaN;NaN;NaN;NaN
jenetics;;io.jenetics.util.SeqPerf.mseq_forEachLoop;;1.0031003100310103E-9;1.0074014802960693E-9;1.006500650065016E-9;1.0069000000000078E-9;0.010116356038312154;0.02928198399733221;0.021909472642471128;0.017020186270634653;0.0013017605021154247;0.002200710120016902;0.0021001600160016;0.8733407354310664;0.7875367646908389;0.7970219449195356;1.000603;1.021246;0.9998086;1.012415;0.9998013;1.009712
jenetics;;io.jenetics.util.SeqPerf.mseq_forLoop;;1.000500000000006E-9;1.000900000000006E-9;1.0000000000000059E-9;1.000500000000006E-9;0.004760662514705297;0.0036067395074851826;0.0;0.0023967848300910357;2.9994E-4;2.0E-4;0.0;0.9706970355943161;0.980458342195687;1.0;0.9982517;1.00041;0.9945482;1.0;0.9978799;1.0
jenetics;;io.jenetics.util.SeqPerf.mseq_get;;1.0010002000400143E-9;1.0010000000000068E-9;1.000400040004006E-9;1.0009000000000057E-9;0.006143776354552864;0.004079789657073779;0.0012045169886874302;0.0021570457165807906;8.001600320064013E-8;2.0010002600580123E-4;1.2002400480096018E-7;0.9999921813824605;0.9804500369981127;0.999988272073691;0.9978666;1.0;0.9949911;1.0;0.9950167;1.0
jenetics;;io.jenetics.util.SeqPerf.mseq_set;;0.0;0.0;0.0;0.0;NaN;NaN;NaN;NaN;0.0;0.0;0.0;1.0;1.0;1.0;NaN;NaN;NaN;NaN;NaN;NaN
jenetics;;io.jenetics.util.ThreadIDPerf.getThread;;3.4200899999997754E-8;3.3959691938384774E-8;3.402590259025567E-8;3.4192719271924814E-8;0.030912937611948986;0.030852574891997324;0.029358200967860668;0.0379434416027999;0.1293977395479096;0.09352194219421942;0.0025924192419241924;1.4808146690786094E-56;2.258932202217215E-30;0.7508723257611412;0.9926903;1.01002;0.9885794;0.9946919;1.001216;1.00903
jenetics;;io.jenetics.util.ThreadIDPerf.getThreadId;;3.644448889778288E-8;3.64727418225501E-8;3.604440888178053E-8;3.6385677135430283E-8;0.04130035725400648;0.038524642443196595;0.0302534221903017;0.037347755387244295;0.004376497986403323;0.20422177053934493;0.0026331031359302466;0.5920076632399702;4.9005244923010487E-138;0.7471135959934742;0.9955658;0.9992363;0.9736161;0.9910191;0.9944522;0.9987966
