project;commit;benchmark;params;f1;f2;f3;f4;f5
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.putAndRemove;count=50&threadContextMapAlias=CopyOpenHash;2147483647;2147483647;2147483647;2147483647;2147483647
log4j2;;org.apache.logging.log4j.perf.jmh.TextEncoderHelperBenchmark.byteArrayMCD;;2147483647;2147483647;2147483647;2147483647;2147483647
log4j2;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.slf4jDebugStringConcatenation;;2147483647;2147483647;35;2147483647;46
log4j2;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONTEXT&queueFullPolicy=ENQUEUE;2147483647;2147483647;2147483647;2147483647;2147483647
log4j2;;org.apache.logging.log4j.perf.jmh.MemoryHandlerJULBenchmark.throughputSimple;;2147483647;2147483647;2147483647;2147483647;2147483647
log4j2;;org.apache.logging.log4j.perf.jmh.UnboxBenchmark.boxDouble;;18;31;21;21;25
log4j2;;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.latencyStringFormatString;;2147483647;2147483647;2147483647;2147483647;2147483647
log4j2;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.getValueHashContextData;count=5&length=20;27;23;19;13;11
log4j2;;org.apache.logging.log4j.perf.jmh.MarkerFilterBenchmark.logbackSimpleMarker;;21;20;25;14;23
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=5&threadContextMapAlias=CopySortedArray;2147483647;2147483647;2147483647;2147483647;2147483647
log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;2147483647;2147483647;2147483647;2147483647;2147483647
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=500&threadContextMapAlias=CopySortedArray;2147483647;2147483647;2147483647;2147483647;2147483647
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.putAndRemove;count=50&threadContextMapAlias=Default;2147483647;2147483647;2147483647;2147483647;2147483647
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=5&threadContextMapAlias=NoGcSortedArray;2147483647;2147483647;2147483647;2147483647;2147483647
log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput10Params;;2147483647;2147483647;2147483647;2147483647;2147483647
log4j2;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.putAllMap;count=5&length=20;2147483647;2147483647;2147483647;2147483647;2147483647
log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput4Params;;2147483647;2147483647;2147483647;2147483647;2147483647
log4j2;;org.apache.logging.log4j.perf.jmh.TimeFormatBenchmark.fixedFormatReuseStringBuilder;;2147483647;2147483647;46;37;2147483647
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=500&threadContextMapAlias=CopySortedArray;2147483647;2147483647;2147483647;2147483647;2147483647
