project;commit;benchmark;params;f1;f2;f3;f4;f5
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.putAndRemove;count=50&threadContextMapAlias=CopyOpenHash;24;42;21;5;5
log4j2;;org.apache.logging.log4j.perf.jmh.TextEncoderHelperBenchmark.byteArrayMCD;;35;2147483647;35;33;38
log4j2;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.slf4jDebugStringConcatenation;;32;25;25;29;25
log4j2;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONTEXT&queueFullPolicy=ENQUEUE;20;21;17;20;25
log4j2;;org.apache.logging.log4j.perf.jmh.MemoryHandlerJULBenchmark.throughputSimple;;14;10;10;31;22
log4j2;;org.apache.logging.log4j.perf.jmh.UnboxBenchmark.boxDouble;;15;16;20;29;30
log4j2;;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.latencyStringFormatString;;19;19;24;28;29
log4j2;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.getValueHashContextData;count=5&length=20;34;19;27;32;22
log4j2;;org.apache.logging.log4j.perf.jmh.MarkerFilterBenchmark.logbackSimpleMarker;;19;29;25;19;29
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=5&threadContextMapAlias=CopySortedArray;30;30;37;21;25
log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;26;35;31;24;21
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=500&threadContextMapAlias=CopySortedArray;5;24;25;32;24
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.putAndRemove;count=50&threadContextMapAlias=Default;37;21;27;31;5
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=5&threadContextMapAlias=NoGcSortedArray;2147483647;40;20;30;17
log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput10Params;;10;6;8;9;5
