project;commit;benchmark;params;threshold;f2;f3;f4;f5;reachedForks;reachedF1;reachedF2;reachedF3;reachedF4;reachedF5
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.putAndRemove;count=50&threadContextMapAlias=CopyOpenHash;0.99;0.9741849335376338;0.9860584180742817;0.9917697910926782;0.9966412473506121;4;9;12;7;12;14
log4j2;;org.apache.logging.log4j.perf.jmh.TextEncoderHelperBenchmark.byteArrayMCD;;0.99;0.7256389362306346;0.9723717777112679;0.9901815221016161;0.9649675753374367;4;11;10;10;8;11
log4j2;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.slf4jDebugStringConcatenation;;0.99;0.3896096004108062;0.9745824292587518;0.9716537323538722;0.9843286943059858;2147483647;10;12;9;15;14
log4j2;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONTEXT&queueFullPolicy=ENQUEUE;0.99;0.9885869079940481;0.996041268409553;0.9882723506185981;0.9919509616012515;3;43;27;47;47;47
log4j2;;org.apache.logging.log4j.perf.jmh.MemoryHandlerJULBenchmark.throughputSimple;;0.99;0.9440546125257222;0.9621981759055401;0.9931899738515513;0.9776592672641751;4;12;24;13;17;10
log4j2;;org.apache.logging.log4j.perf.jmh.UnboxBenchmark.boxDouble;;0.99;0.38317573450337866;0.7756522234883447;0.9460268539277382;0.9353065086922103;2147483647;10;12;21;6;8
log4j2;;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.latencyStringFormatString;;0.99;0.3338637037103737;0.9539924497038531;0.9347166550529762;0.9626773418423746;2147483647;10;11;10;14;12
log4j2;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.getValueHashContextData;count=5&length=20;0.99;0.40480561652905345;0.8485552185751433;0.957434271094055;0.5645396434493276;2147483647;11;21;11;12;8
log4j2;;org.apache.logging.log4j.perf.jmh.MarkerFilterBenchmark.logbackSimpleMarker;;0.99;0.9456263075970197;0.9978666578504365;0.9968105681400988;0.955235090132852;3;22;17;20;13;24
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=5&threadContextMapAlias=CopySortedArray;0.99;0.5413518576858747;0.5926732910615288;0.9579052869029661;0.8007443018880991;2147483647;11;10;11;9;12
log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput10Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.99;0.9836279139048137;0.7871892371848579;0.9777377278351141;0.9695989983427213;2147483647;8;7;9;10;8
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=500&threadContextMapAlias=CopySortedArray;0.99;0.7417088784701819;0.8141075469815434;0.8397364358097535;0.9658557313750812;2147483647;16;7;14;13;10
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.putAndRemove;count=50&threadContextMapAlias=Default;0.99;0.2989968695341858;0.7827479759428995;0.9633851132361456;0.7909319656061554;2147483647;19;31;20;14;31
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=5&threadContextMapAlias=NoGcSortedArray;0.99;0.9160552105859396;0.7037351251058812;0.760855636556048;0.7286654770391162;2147483647;8;13;14;13;19
log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput10Params;;0.99;0.9676766650275608;0.9958418605164013;0.9799565044983506;0.9717393817627049;3;8;8;7;9;18
log4j2;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.putAllMap;count=5&length=20;0.99;0.8697931561671534;0.7437287345586231;0.9547950191240336;0.9381240175464938;2147483647;10;10;20;18;10
log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput4Params;;0.99;0.37472486105832686;0.9874102060485577;0.9869067958096754;0.930113697719408;2147483647;46;16;6;2147483647;6
log4j2;;org.apache.logging.log4j.perf.jmh.TimeFormatBenchmark.fixedFormatReuseStringBuilder;;0.99;0.8626646525961533;0.9901943780049438;0.48652398683718234;0.9651047399490297;3;18;14;25;25;18
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=500&threadContextMapAlias=CopySortedArray;0.99;0.14937165633620444;0.9607765963315958;0.557246856050578;0.9673412255915824;2147483647;12;19;21;28;19
log4j2;;org.apache.logging.log4j.perf.jmh.Log4jLogEventBenchmark.createSerializableLogEventProxyWithoutExceptionWithLocation;;0.99;0.9948111766372577;0.934921400052447;0.9873543524685553;0.9890678583480246;2;8;10;10;11;10
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=500&threadContextMapAlias=Default;0.99;0.7352804128139264;0.9909667322666481;0.9929214864188202;0.975495294425976;3;15;13;26;29;12
log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput3Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.99;0.9667876838737348;0.9837268526834206;0.99325716095608;0.9183876763709288;4;10;12;11;9;9
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=5&threadContextMapAlias=NoGcSortedArray;0.99;0.672278427487995;0.3351371250572325;0.9584215145374457;0.9275461131721285;2147483647;8;10;9;7;7
