project;commit;benchmark;params;meanDefault;meanCov;meanCi;meanKld;ciPercentageDefault;ciPercentageCov;ciPercentageCi;ciPercentageKld;effectSizeCov;effectSizeCi;effectSizeKld;wilcoxonCov;wilcoxonCi;wilcoxonKld;ratioLowerCov;ratioUpperCov;ratioLowerCi;ratioUpperCi;ratioLowerKld;ratioUpperKld
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.putAndRemove;count=50&threadContextMapAlias=CopyOpenHash;7.468040100250636E-7;7.814023472765608E-7;7.490161614133748E-7;7.905843439911817E-7;0.04370075286551612;0.08510240849844297;0.06246712270739239;0.08714934675774576;0.020186729236573227;0.02956074184658595;0.017280044855046306;0.01355542451670648;3.007668893941406E-4;0.03453487484794482;1.042749;1.084627;0.9883736;1.009355;1.04462;1.089758
log4j2;;org.apache.logging.log4j.perf.jmh.TextEncoderHelperBenchmark.byteArrayMCD;;3.5604894894895484E-7;3.569804648367145E-7;3.5454869739479453E-7;3.5950786021828885E-7;0.03842877035006577;0.03865438979668809;0.04252866045967243;0.04490305666222938;0.22969773018861378;0.0027187407848730492;0.13790349877262864;7.046645745255365E-174;0.7393470210982585;6.36567819853855E-64;0.9878581;1.000344;0.9899941;0.9941323;1.005378;1.012112
log4j2;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.slf4jDebugStringConcatenation;;6.902533039647381E-8;6.928147851347204E-8;6.923910211443931E-8;6.99540218371223E-8;0.02043671328919571;0.042364680264304844;0.018808053392690687;0.03779102575784384;0.0648450383272709;0.06094548652289953;0.07167763893051507;2.08967702385075E-15;8.789958890314397E-14;1.7537184221512754E-18;0.9879348;1.01537;1.004679;1.007411;1.010323;1.02685
log4j2;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONTEXT&queueFullPolicy=ENQUEUE;4.495626927029801E-7;3.6885956837475914E-7;4.4575646817248364E-7;4.568858639819212E-7;0.07475641810575565;0.1815996996072787;0.0704862759347277;0.056755349841108124;0.2555292057065784;0.00640098891845749;0.02042966759587135;9.678898817077573E-210;0.43923795568904234;0.01357589234085342;0.7821025;0.8681038;0.9961884;1.00428;1.007227;1.025525
log4j2;;org.apache.logging.log4j.perf.jmh.MemoryHandlerJULBenchmark.throughputSimple;;1.8304023218575236E-7;1.905735618360423E-7;1.8552156509557011E-7;1.8537278462000912E-7;0.03204951136081997;0.04744656516583942;0.04808151585368533;0.051701757231451206;0.0679411639152974;0.026286575142231268;0.0524842924304398;9.20577053971151E-17;0.0012902177531087101;1.3234694412555814E-10;1.037221;1.053395;1.015533;1.030924;1.011147;1.03132
log4j2;;org.apache.logging.log4j.perf.jmh.UnboxBenchmark.boxDouble;;2.952350470094062E-7;2.9412232446490293E-7;2.928629862986317E-7;2.940274027402773E-7;0.05071089598341067;0.056267306426430214;0.059050660314607234;0.04204329337714124;0.04832246705392289;0.06363734993223268;0.03142509690056823;3.268131643464481E-9;6.534738288873264E-15;1.1889776508858027E-4;0.9954662;1.018001;0.9896621;1.003794;0.9876201;0.9969557
log4j2;;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.latencyStringFormatString;;2.7871769530859462E-6;2.7339695939187967E-6;2.7796894447223714E-6;2.7770264105642355E-6;0.1031985787129704;0.06863958886909802;0.13464565453659638;0.10896010054765647;0.27813844253295994;0.0048200553212487006;0.015183536653633145;2.9108897780723977E-254;0.5550559278109678;0.06299540731286231;0.9715809;1.007067;0.9788624;1.010689;0.9826566;0.9949715
log4j2;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.getValueHashContextData;count=5&length=20;4.2681436287257404E-8;4.476985397079442E-8;4.272867286728671E-8;4.2775155031006E-8;0.2448171205492741;0.2088194280178871;0.24585747154796356;0.24754593580227846;0.26426689618779925;7.843252818980638E-4;0.0031850939101603078;9.434237393020258E-230;0.9234806790234806;0.6965040267112623;0.9205167;1.017664;0.9623994;1.013574;0.968745;1.009264
log4j2;;org.apache.logging.log4j.perf.jmh.MarkerFilterBenchmark.logbackSimpleMarker;;4.287567513503159E-8;4.284295288587045E-8;4.287610000000452E-8;4.283096619324305E-8;0.0116173311489896;0.009214205118126172;0.012924738700823482;0.007198687174621535;0.011031675175687334;0.008976985397079416;0.00200561216464137;0.17672872430234055;0.2716070523754862;0.8059875421298729;0.9974523;1.002411;0.9972904;1.001487;0.9962869;1.002261
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=5&threadContextMapAlias=CopySortedArray;8.470487048704861E-7;8.455022004400869E-7;8.478859999999984E-7;8.603067613522663E-7;0.13144387004353522;0.12156898269770818;0.13879019794788305;0.13949377053930884;0.0189484941692809;0.013156765676567657;0.012350544916464042;0.020315194547270713;0.10711706128037557;0.1304129701548472;0.9952086;1.007551;0.9914018;1.004755;0.9857566;1.00893
