project;commit;benchmark;params;f1;f2;f3;f4;f5
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=1;31;9;26;24;31
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=10;24;28;17;22;16
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=10000;21;17;15;13;23
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer;stringLength=1000;20;11;16;13;22
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields;;15;13;35;7;8
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_1_int_field;;28;15;16;26;23
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=100000;5;5;12;18;34
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=100;5;7;7;18;11
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=10000;5;36;35;34;5
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_10_int_field;;23;11;19;14;37
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field;;18;46;5;36;43
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field;;21;17;9;21;14
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=100;13;17;11;9;6
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=100000;42;39;38;34;37
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer;stringLength=100000;11;15;23;19;25
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_1_int_field;;22;21;15;26;21
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields;;23;8;11;14;7
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field;;33;27;21;16;13
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=1;21;23;22;19;10
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field;;12;27;16;26;12
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=10;33;11;33;20;32
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer;stringLength=1;25;23;25;21;27
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer;stringLength=10000;8;9;18;15;16
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=1000;8;5;37;8;36
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field;;21;20;17;20;20
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline;;16;23;27;24;26
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=1000;12;14;15;18;23
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer;stringLength=10;19;33;20;23;31
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field;;22;15;19;24;23
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_10_int_field;;20;29;25;12;29
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer;stringLength=100;8;17;16;9;6
