project;commit;benchmark;params;threshold;f2;f3;f4;f5;reachedForks;reachedF1;reachedF2;reachedF3;reachedF4;reachedF5
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=1;0.01;0.09560187084975047;0.04827964329407558;0.027912259891911623;0.019779808124584464;2147483647;31;9;26;24;31
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=10;0.01;0.014402467413959882;0.005017854862763613;0.017131954776570008;0.00869089005620835;3;24;28;17;22;16
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=10000;0.01;8.897464518073939E-4;0.03035336413502042;0.005011530874127437;0.004930252804355426;2;21;17;15;13;23
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer;stringLength=1000;0.01;0.08630502577759629;0.01646081431289187;0.03952721616497387;0.010114765803268227;2147483647;20;11;16;13;22
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields;;0.01;0.013408367601266992;0.07701502450926734;0.015792326930230013;0.019609263689816234;2147483647;15;13;35;7;8
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_1_int_field;;0.01;0.007268555680548287;0.008775315392374805;0.0029522419915493925;0.08003793949244001;2;28;15;16;26;23
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=100000;0.01;0.04558401260286113;0.032491735357184526;0.021671785242241948;0.01381536074523329;2147483647;5;5;12;18;34
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=100;0.01;0.16249782253605177;0.04874791516439958;0.019532091508051297;0.007545792105405513;5;5;7;7;18;11
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=10000;0.01;0.06115391240512624;0.030683095891225837;0.014065778017334746;0.005709930351952108;5;5;36;35;34;5
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_10_int_field;;0.01;0.02531264592510643;0.005839940238257513;0.009172140026657491;0.004216289130324902;3;23;11;19;14;37
