project;commit;benchmark;params;meanDefault;meanCov;meanCi;meanKld;ciPercentageDefault;ciPercentageCov;ciPercentageCi;ciPercentageKld;effectSizeCov;effectSizeCi;effectSizeKld;wilcoxonCov;wilcoxonCi;wilcoxonKld;ratioLowerCov;ratioUpperCov;ratioLowerCi;ratioUpperCi;ratioLowerKld;ratioUpperKld
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=1;8.646412488743487E-8;8.680834667735581E-8;8.674694816891497E-8;8.635104573202527E-8;0.030003838377604196;0.04366910468928849;0.051668812709213245;0.03837267530212023;0.03192731309034018;0.003026212805637951;0.0584152126742898;9.27876300477857E-5;0.7110069097221011;8.57160782435438E-13;1.003373;1.018069;0.9954665;1.019547;0.9995154;1.007665
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=10;9.08893446723359E-8;8.828698698698971E-8;9.064515160612426E-8;9.080894715772559E-8;0.09463432529188219;0.10980993411163924;0.11518337539341043;0.09760858241526735;0.2605118875754193;0.022123720721563624;0.01882522526275147;3.3075587473920317E-223;0.00675452331812822;0.021177626863337063;0.9476814;0.9944399;0.9622148;0.9944099;0.9807267;0.9966289
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=10000;1.648879391756707E-5;1.6492541362408685E-5;1.6512704070406954E-5;1.642548284485342E-5;0.014656596045850429;0.02719954511168583;0.02243154906859617;0.02853304901188327;0.15074434295074438;0.14652369598704568;0.14329848174140117;4.443639951675205E-76;5.470806891236244E-72;6.281902188719758E-69;0.9957215;1.008243;0.9978536;1.006228;0.99473;1.009368
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer;stringLength=1000;1.6411727172717331E-6;1.6502294458891746E-6;1.6498915891589281E-6;1.6528616000000092E-6;0.04346569856748139;0.03630610897123273;0.040099976939661136;0.033532404093608775;0.014405151257274157;0.0060087616922508335;0.024114091409140913;0.07771731983125854;0.46181297390575426;0.003144845738769027;0.9996174;1.007332;1.00533;1.010447;0.9979577;1.007779
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields;;1.2470034006801435E-7;1.2517285185555857E-7;1.2522381190595376E-7;1.250424127238185E-7;0.01440660219693465;0.022717142816062998;0.008544258058952365;0.025136334082681025;0.09855263040204319;0.22053578299451787;0.005944161724212403;1.551733700650356E-33;1.3049021829450763E-160;0.4666754464610836;0.9996339;1.008084;1.002015;1.007766;0.9996665;1.009894
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_1_int_field;;3.5041800000001674E-8;3.5266626662668676E-8;3.505540554055557E-8;3.506460646064774E-8;0.03176784313725493;0.03157272871520534;0.027145827857088658;0.03187351171089149;0.11865818581858185;0.006593179317931793;0.0028727172717271728;7.61096471512081E-48;0.41940388386159577;0.7249755216978013;1.004466;1.02241;0.9942157;0.9993388;1.000994;1.003373
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=100000;1.6199899889878961E-4;1.6627078314820413E-4;1.580596424782304E-4;1.5765438751625578E-4;0.055168483329303714;0.052233278492273987;0.03739723870218634;0.027850547399440446;0.058789946635685326;0.4977077227147841;0.5134883842868347;6.1620620083007E-13;0.0;0.0;1.021592;1.03452;0.9765506;0.9976692;0.9671892;0.9958313
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=100;1.6873718975180504E-7;1.7017243448690078E-7;1.6861755580022335E-7;1.6938380704563974E-7;0.04714870043131293;0.051389575048083405;0.04368056732813062;0.05776054757312677;0.00854811674905037;0.00908070065300564;0.0019298865834060364;0.29526646517077637;0.2662871286086863;0.8132298415800513;1.007569;1.012966;0.9956164;0.9990834;0.9965755;1.008638
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=10000;1.0845271727172562E-5;1.0888272827282647E-5;1.0779672734546778E-5;1.087661372274449E-5;0.020264409663714674;0.03583684414210018;0.0231024356954699;0.029567074229628836;0.00778816755562945;0.0126479241242788;0.061763307757060966;0.340194869999377;0.12140741800443233;3.918441852119771E-14;0.9957366;1.010702;0.9931029;0.9952768;0.997705;1.007142
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_10_int_field;;1.3526017805341773E-7;1.3811302260452041E-7;1.3571460022015514E-7;1.3520176140912803E-7;0.16501001060831264;0.1973526299036279;0.1380608831249917;0.16282244585656472;0.07667124102023566;0.0026586981398132037;1.1808987051599867E-4;6.06518413060724E-21;0.7447776154112191;0.9884640632714153;0.9421017;1.047741;0.9581239;1.003609;0.9844704;1.01117
