project;commit;benchmark;params;threshold;f2;f3;f4;f5;reachedForks;reachedF1;reachedF2;reachedF3;reachedF4;reachedF5
squidlib;;squidpony.performance.FOVCacheBenchmark.measureCachedFOV;;0.01;0.07170439741606693;0.016212311513244815;0.01785005769642828;0.0076925650266345125;5;15;7;15;16;15
squidlib;;squidpony.performance.WorldBenchmark.measureClassic;;0.01;0.0012168591207810837;5.454886322860644E-4;3.455416682920341E-4;2.3177863025247497E-4;2;15;14;16;13;14
squidlib;;squidpony.performance.MathBenchmark.measureCosGdxDeg;;0.01;0.009774408741782169;0.002051488786979014;0.0017965495335885845;0.005445187337900247;2;20;19;12;22;22
squidlib;;squidpony.performance.CoordPackerBenchmark.doRandomA;;0.01;0.025262982186385396;0.01758441294540114;0.004796488231648466;0.006668073949505471;4;24;22;17;25;22
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidPrimitiveOM;NEED_TO_ENLARGE=0&SIZE=65536;0.01;0.06282910855838028;0.021623890590141998;0.01251180760852974;9.118372114163276E-4;5;11;10;13;8;11
squidlib;;squidpony.performance.RNGBenchmark.measureOriole32R;;0.01;0.020104509925834013;0.0011994060017505581;0.004141116148508171;0.0028470950790409413;3;17;22;22;23;19
squidlib;;squidpony.performance.HashBenchmark.doCharMist32;;0.01;0.003924810368667847;0.003418591412794242;1.5435765275328972E-4;0.005536861018827499;2;25;23;19;19;23
squidlib;;squidpony.performance.MathBenchmark.measureBaseline;;0.01;2.112761301649238E-4;0.005952455113089339;0.0010369969629833234;0.0033343824686198134;2;25;25;15;12;17
squidlib;;squidpony.performance.RNGBenchmark.measureLongPeriodIntR;;0.01;0.009695400665746048;0.002234724533855672;0.001130122126055278;8.155276260742549E-4;2;19;22;23;20;24
squidlib;;squidpony.performance.RNGBenchmark.measureLapInt;;0.01;0.004986979856440955;0.004165754289116336;0.0017765138581954838;0.002225371622315401;2;25;28;24;15;21
squidlib;;squidpony.performance.DijkstraBenchmark.doPathOtherDijkstra;;0.01;0.0697306291598909;0.013443597704669144;0.0017494044994230407;0.004818955003693483;4;15;9;10;13;13
squidlib;;squidpony.performance.RNGBenchmark.measureThreadLocalInt;;0.01;0.003054019497673463;4.2088549746117226E-4;0.0015327052354450824;0.006448426726962976;2;21;20;18;38;23
squidlib;;squidpony.performance.WaypointBenchmark.countWaypoint2;;0.01;0.0010716700757495735;0.002957042655877474;0.0016188719204272214;1.4444372811098227E-4;2;30;31;27;28;29
squidlib;;squidpony.performance.RNGBenchmark.measureGWTRNG;;0.01;0.08859642377494273;0.020749514706911498;0.010507713793975498;0.008358748771635574;5;24;23;19;29;20
squidlib;;squidpony.performance.RNGBenchmark.measureThrustAltR;;0.01;0.01034361668853899;0.0012191344049617345;0.006372181235263251;0.002612355643007741;3;25;25;19;31;21
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringGdxOM2;NEED_TO_ENLARGE=2&SIZE=65536;0.01;0.017795851437419935;0.003035074288884304;0.003465501330889839;8.273161278182783E-5;3;18;20;26;23;21
squidlib;;squidpony.performance.DijkstraBenchmark.doPathDijkstra;;0.01;0.002386953717789293;0.0028452512674249537;0.003018801732505863;0.0010790164429556205;2;9;11;12;12;9
squidlib;;squidpony.performance.HashBenchmark.doCharLightning32;;0.01;0.005890913776264467;0.006776624931016717;4.0678067370142346E-4;0.002587894996879919;2;12;21;18;28;27
squidlib;;squidpony.performance.MathBenchmark.measureCosApproxFloat;;0.01;0.002745174227547654;0.004031511163829354;0.0028847576973248697;0.0037577974299014584;2;31;25;18;32;31
squidlib;;squidpony.performance.RNGBenchmark.measureThrustAlt;;0.01;0.012175394533806477;0.004537802241735743;6.664840060939259E-4;0.007656067998466888;3;17;17;25;21;24
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOS2;NEED_TO_ENLARGE=2&SIZE=65536;0.01;0.010546557282350821;0.03424282747988028;0.008508807772419691;0.005517959967724112;4;21;12;21;22;19
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOM;NEED_TO_ENLARGE=0&SIZE=65536;0.01;0.07070207510009513;0.03615892744276078;0.019040318548549373;0.010580362664828646;2147483647;21;16;15;26;12
squidlib;;squidpony.performance.RNGBenchmark.measureThrustAltInt;;0.01;0.005526378058539252;0.11120288330023866;0.01751896731527762;0.011583561327972877;2;21;21;15;21;22
squidlib;;squidpony.performance.HashBenchmark.doLongLightning64;;0.01;0.012751140938876082;0.013588092633820104;0.01037994871864073;2.4517525664707884E-4;5;12;29;8;19;19
