project;commit;benchmark;params;f1;f2;f3;f4;f5
squidlib;;squidpony.performance.FOVCacheBenchmark.measureCachedFOV;;26;18;13;43;48
squidlib;;squidpony.performance.WorldBenchmark.measureClassic;;14;20;18;22;17
squidlib;;squidpony.performance.MathBenchmark.measureCosGdxDeg;;16;16;11;30;15
squidlib;;squidpony.performance.CoordPackerBenchmark.doRandomA;;17;10;12;14;26
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidPrimitiveOM;NEED_TO_ENLARGE=0&SIZE=65536;23;20;11;23;23
squidlib;;squidpony.performance.RNGBenchmark.measureOriole32R;;12;11;12;2147483647;7
squidlib;;squidpony.performance.HashBenchmark.doCharMist32;;14;10;9;11;12
squidlib;;squidpony.performance.MathBenchmark.measureBaseline;;9;15;14;10;14
squidlib;;squidpony.performance.RNGBenchmark.measureLongPeriodIntR;;10;13;8;7;11
squidlib;;squidpony.performance.RNGBenchmark.measureLapInt;;10;17;13;12;10
squidlib;;squidpony.performance.DijkstraBenchmark.doPathOtherDijkstra;;29;36;35;20;22
squidlib;;squidpony.performance.RNGBenchmark.measureThreadLocalInt;;2147483647;16;16;10;10
squidlib;;squidpony.performance.WaypointBenchmark.countWaypoint2;;17;39;31;27;41
squidlib;;squidpony.performance.RNGBenchmark.measureGWTRNG;;17;21;11;11;11
squidlib;;squidpony.performance.RNGBenchmark.measureThrustAltR;;12;12;14;6;12
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringGdxOM2;NEED_TO_ENLARGE=2&SIZE=65536;40;22;2147483647;16;13
squidlib;;squidpony.performance.DijkstraBenchmark.doPathDijkstra;;38;34;19;31;29
squidlib;;squidpony.performance.HashBenchmark.doCharLightning32;;11;18;22;14;38
squidlib;;squidpony.performance.MathBenchmark.measureCosApproxFloat;;13;12;25;9;15
squidlib;;squidpony.performance.RNGBenchmark.measureThrustAlt;;18;29;10;12;11
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOS2;NEED_TO_ENLARGE=2&SIZE=65536;19;11;2147483647;2147483647;20
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOM;NEED_TO_ENLARGE=0&SIZE=65536;11;18;29;32;20
squidlib;;squidpony.performance.RNGBenchmark.measureThrustAltInt;;44;15;17;17;21
squidlib;;squidpony.performance.HashBenchmark.doLongLightning64;;7;6;11;8;8
squidlib;;squidpony.performance.RNGBenchmark.measureXoRoIntR;;15;11;20;17;19
squidlib;;squidpony.performance.RNGBenchmark.measureFlapInt;;15;9;17;16;24
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashSet;NEED_TO_ENLARGE=1&SIZE=65536;49;18;20;11;15
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOM;NEED_TO_ENLARGE=2&SIZE=65536;23;25;34;36;19
squidlib;;squidpony.performance.RNGBenchmark.measureLightIntR;;15;10;14;19;14
squidlib;;squidpony.performance.HashBenchmark.doIntJDK32Mixed;;25;9;6;9;10
squidlib;;squidpony.performance.HashBenchmark.doCharJolt64;;9;11;11;9;17
squidlib;;squidpony.performance.HashBenchmark.doCharHive64;;13;13;13;11;12
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerGdxOM;NEED_TO_ENLARGE=1&SIZE=65536;16;13;13;13;12
squidlib;;squidpony.performance.WorldBenchmark.measureWhirling;;20;33;19;20;12
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashSet;NEED_TO_ENLARGE=0&SIZE=65536;19;33;16;29;18
squidlib;;squidpony.performance.CoordPackerBenchmark.doPack;;29;31;27;15;15
squidlib;;squidpony.performance.HashBenchmark.doJolt32;;15;35;19;11;12
squidlib;;squidpony.performance.DijkstraBenchmark.doTinyPathDijkstra;;11;13;10;11;11
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringSquidMildOM2;NEED_TO_ENLARGE=2&SIZE=65536;2147483647;2147483647;29;23;23
squidlib;;squidpony.performance.RNGBenchmark.measureThrustAlt32;;9;11;10;13;14
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOM;NEED_TO_ENLARGE=1&SIZE=65536;25;15;23;17;32
squidlib;;squidpony.performance.HashBenchmark.doLongSirocco32;;8;12;7;11;14
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringGdxOS2;NEED_TO_ENLARGE=0&SIZE=65536;27;19;2147483647;24;25
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2;NEED_TO_ENLARGE=1&SIZE=65536;14;18;17;22;11
squidlib;;squidpony.performance.RNGBenchmark.measureLap;;15;22;20;13;20
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOM3;NEED_TO_ENLARGE=2&SIZE=65536;27;21;27;22;31
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidOM;NEED_TO_ENLARGE=2&SIZE=65536;24;17;24;34;9
squidlib;;squidpony.performance.NoiseBenchmark.measureFastNoise4D;;19;34;23;45;2147483647
squidlib;;squidpony.performance.HashBenchmark.doLongJDK32;;17;7;7;6;6
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringGdxOM2;NEED_TO_ENLARGE=0&SIZE=65536;23;21;11;21;22
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringGdxOS2;NEED_TO_ENLARGE=1&SIZE=65536;20;26;23;2147483647;33
squidlib;;squidpony.performance.NoiseBenchmark.measureOpenSimplex3D;;16;14;17;25;14
squidlib;;squidpony.performance.HashBenchmark.doLightning32;;13;9;9;11;14
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidOM;NEED_TO_ENLARGE=1&SIZE=65536;18;20;12;20;11
squidlib;;squidpony.performance.CoordPackerBenchmark.doSurface;;28;16;21;17;20
squidlib;;squidpony.performance.NoiseBenchmark.measureSeeded4D;;27;30;33;34;27
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidPrimitiveOM3;NEED_TO_ENLARGE=1&SIZE=65536;35;10;17;17;29
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerGdxOS;NEED_TO_ENLARGE=1&SIZE=65536;11;19;15;15;10
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOS3;NEED_TO_ENLARGE=1&SIZE=65536;26;20;25;25;20
squidlib;;squidpony.performance.MathBenchmark.measureSinApprox;;11;30;10;11;13
squidlib;;squidpony.performance.NoiseBenchmark.measureFastNoise3D;;17;18;27;32;46
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringSquidMildOM;NEED_TO_ENLARGE=2&SIZE=65536;25;25;44;17;21
squidlib;;squidpony.performance.HashBenchmark.doCharJDK32;;12;12;9;12;10
squidlib;;squidpony.performance.FOVCacheBenchmark.measureFOV16;;17;11;13;12;14
squidlib;;squidpony.performance.HashBenchmark.doLongJDK32Mixed;;8;9;15;6;10
squidlib;;squidpony.performance.HashBenchmark.doWater32;;8;21;9;9;24
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringSquidMildOM;NEED_TO_ENLARGE=0&SIZE=65536;41;32;19;25;15
squidlib;;squidpony.performance.CoordPackerBenchmark.doFloodG;;13;10;13;15;13
squidlib;;squidpony.performance.HashBenchmark.doCharMist64;;12;20;15;17;15
squidlib;;squidpony.performance.HashBenchmark.doIntWater64;;13;9;16;9;7
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidOS;NEED_TO_ENLARGE=0&SIZE=65536;15;14;11;11;22
squidlib;;squidpony.performance.RNGBenchmark.measureXoRo;;11;11;12;13;10
squidlib;;squidpony.performance.HashBenchmark.doLongWisp64;;8;8;8;8;9
squidlib;;squidpony.performance.LOSBenchmark.measureDDA;;37;27;44;17;38
squidlib;;squidpony.performance.HashBenchmark.doIntLightning64;;8;12;10;10;10
squidlib;;squidpony.performance.CoordPackerBenchmark.measureMixedSeparatedAltG;;6;14;6;6;12
squidlib;;squidpony.performance.HashBenchmark.doWater64;;8;19;12;14;20
squidlib;;squidpony.performance.CoordPackerBenchmark.measureZCurveRegionG;;21;17;17;17;18
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerGdxOS;NEED_TO_ENLARGE=0&SIZE=65536;16;20;19;13;10
