project;commit;benchmark;params;threshold;f2;f3;f4;f5;reachedForks;reachedF1;reachedF2;reachedF3;reachedF4;reachedF5
squidlib;;squidpony.performance.FOVCacheBenchmark.measureCachedFOV;;0.99;0.6827782943918104;0.9722443541218955;0.9942606462376605;0.9960502914423113;4;14;15;10;10;11
squidlib;;squidpony.performance.WorldBenchmark.measureClassic;;0.99;0.0;0.0;0.9755008875781188;0.9956829309648634;5;14;16;17;18;16
squidlib;;squidpony.performance.MathBenchmark.measureCosGdxDeg;;0.99;0.9772663636117614;0.9642918080311844;0.9906877320834975;0.9847099732714639;4;15;12;11;12;14
squidlib;;squidpony.performance.CoordPackerBenchmark.doRandomA;;0.99;0.9832157312529413;0.9828150344178859;0.9920037803731249;0.9906387601465099;4;11;8;10;8;7
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidPrimitiveOM;NEED_TO_ENLARGE=0&SIZE=65536;0.99;0.9717724836859085;0.9622306038491862;0.9609204373336315;0.9932552603286187;5;20;20;9;14;12
squidlib;;squidpony.performance.RNGBenchmark.measureOriole32R;;0.99;0.9961333269167646;0.49350520926188446;0.701206292963002;0.7012289181857893;2;10;11;10;9;7
squidlib;;squidpony.performance.HashBenchmark.doCharMist32;;0.99;0.9928959238890401;0.9933463662274387;0.9925693981692195;0.9919823644689005;2;10;7;8;7;7
squidlib;;squidpony.performance.MathBenchmark.measureBaseline;;0.99;0.9843670454368283;0.946222877908883;0.9931206846179564;0.9750425501138298;4;8;6;14;9;14
squidlib;;squidpony.performance.RNGBenchmark.measureLongPeriodIntR;;0.99;0.0;1.0;0.0;0.0;3;10;11;7;7;11
squidlib;;squidpony.performance.RNGBenchmark.measureLapInt;;0.99;1.0;1.0;1.0;1.0;2;10;17;13;10;8
squidlib;;squidpony.performance.DijkstraBenchmark.doPathOtherDijkstra;;0.99;0.08669370905375105;0.40027570989131994;0.923032868083737;0.8964772028082713;2147483647;15;18;20;18;16
squidlib;;squidpony.performance.RNGBenchmark.measureThreadLocalInt;;0.99;0.42254084102313205;0.9496514477452932;0.7562269747030828;0.6427064398437481;2147483647;2147483647;16;16;10;9
squidlib;;squidpony.performance.WaypointBenchmark.countWaypoint2;;0.99;0.5427854718049884;0.9395444308762294;0.8693834414525496;0.9685015400180925;2147483647;17;20;19;24;18
squidlib;;squidpony.performance.RNGBenchmark.measureGWTRNG;;0.99;0.9733318758407017;0.9826761180619624;0.7964032789403618;0.998513990352382;5;11;12;11;9;9
squidlib;;squidpony.performance.RNGBenchmark.measureThrustAltR;;0.99;0.980680451253429;0.9739861044964914;0.6714290468520533;0.9949082492596382;5;11;10;14;6;12
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringGdxOM2;NEED_TO_ENLARGE=2&SIZE=65536;0.99;0.3977350476273277;0.4661431180391496;0.9386057181902344;0.9533139279260435;2147483647;32;16;14;16;13
squidlib;;squidpony.performance.DijkstraBenchmark.doPathDijkstra;;0.99;0.0;0.22338330742207255;0.3368837562215922;0.8929299458863336;2147483647;18;31;17;21;28
squidlib;;squidpony.performance.HashBenchmark.doCharLightning32;;0.99;0.9934440311093389;0.9923085496774207;0.9866361049156006;0.9938216302836724;2;8;7;7;8;9
squidlib;;squidpony.performance.MathBenchmark.measureCosApproxFloat;;0.99;0.9879526906963081;0.9934360773245723;0.9935606605805551;0.9985553868915685;3;8;12;8;8;15
squidlib;;squidpony.performance.RNGBenchmark.measureThrustAlt;;0.99;0.0;0.9649791456866772;0.9878970027452472;0.0;2147483647;10;14;8;8;9
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOS2;NEED_TO_ENLARGE=2&SIZE=65536;0.99;0.9605901675990883;0.9530898434488205;0.9911561099373905;0.9613666166670621;4;10;10;18;10;9
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOM;NEED_TO_ENLARGE=0&SIZE=65536;0.99;0.9315086006116757;0.9929401208096945;0.995794629551703;0.9925431039156979;3;9;14;11;10;13
