project;commit;benchmark;params;threshold;f2;f3;f4;f5;reachedForks;reachedF1;reachedF2;reachedF3;reachedF4;reachedF5
zipkin;;zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1;;0.03;0.023864082911248523;0.024718496645658575;0.03575520190697222;0.02710671270658699;2;2147483647;2147483647;2147483647;2147483647;2147483647
zipkin;;zipkin2.SpanBenchmarks.buildClientSpan_longs;;0.03;0.05053906482316444;0.07014545060209489;0.07619256358959356;0.06566559667561422;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647
zipkin;;zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder;;0.03;0.03131791407270312;0.029711527607054183;0.02276104952048219;0.024962649443056956;3;2147483647;2147483647;2147483647;2147483647;2147483647
zipkin;;zipkin2.internal.ReadBufferBenchmarks.readLong_8arity;;0.03;0.031130013321427452;0.03995695664286781;0.0488847352060288;0.059930277633208275;2147483647;15;9;15;16;10
zipkin;;zipkin2.elasticsearch.internal.BulkRequestBenchmarks.buildAndWriteRequest_tenSpans;;0.03;0.010813626839208805;0.014029643402083502;0.026225017217911973;0.03801809017311125;2;2147483647;2147483647;2147483647;2147483647;2147483647
zipkin;;zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V2;;0.03;0.05432992711053646;0.06252372030344312;0.04357973736920704;0.03341249791811545;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647
zipkin;;zipkin2.codec.ProtoCodecBenchmarks.bytes_protobufDecoder;;0.03;0.07132977248123396;0.10323151314295603;0.06867696438114303;0.062237795851462614;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647
zipkin;;zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory;;0.03;0.04957835010191826;0.03469642057068857;0.03709321239032609;0.03133860145014915;2147483647;2147483647;15;21;2147483647;10
zipkin;;zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2;;0.03;0.020755671475625882;0.02736640926278916;0.025207572796440522;0.022545383324625308;2;2147483647;2147483647;2147483647;2147483647;2147483647
zipkin;;zipkin2.EndpointBenchmarks.parseIpv4_bytes;;0.03;0.6669264278937114;0.7138380230690752;0.3572397949182444;0.507573809758427;2147483647;2147483647;2147483647;45;39;2147483647
zipkin;;zipkin2.internal.ReadBufferBenchmarks.readLong_localArray;;0.03;0.031442159836650954;0.0214707477548948;0.02852650418828434;0.03171857907254922;3;11;15;9;13;11
zipkin;;zipkin2.codec.JsonCodecBenchmarks.bytebuffer_zipkinDecoder;;0.03;0.08212094612550982;0.07627848536214034;0.04813257503386646;0.0707630163292298;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647
zipkin;;zipkin2.internal.ReadBufferBenchmarks.readLongReverseBytes;;0.03;0.020444174606883383;0.05068432832053505;0.035941825150452314;0.025193206926385613;2;20;17;10;10;8
zipkin;;zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory;;0.03;0.02245015217946609;0.021079369923969367;0.017020283759325606;0.0210657663282492;2;5;11;13;9;12
zipkin;;zipkin2.EndpointBenchmarks.parseIpv6_literal;;0.03;0.1160803390274541;0.10301933053047095;0.0736474286176448;0.09154208822805834;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647
zipkin;;zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese_jdk;;0.03;0.02787464261971467;0.028179399396071825;0.025929454776681297;0.020354337554279338;2;2147483647;2147483647;2147483647;2147483647;2147483647
zipkin;;zipkin2.EndpointBenchmarks.parseIpv6_addr;;0.03;0.03448576660059997;0.0625248285748829;1.1482736089853873;0.6355906701796151;2147483647;46;2147483647;39;2147483647;2147483647
zipkin;;zipkin2.EndpointBenchmarks.parseIpv4_addr;;0.03;0.046206126394409235;0.037360765041314956;0.22217887772604744;0.3286052603823012;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647
zipkin;;zipkin2.codec.CodecBenchmarks.readChineseSpan_PROTO3;;0.03;0.03050388610088073;0.0160822754864233;0.015401259839420284;0.01995214498716938;3;2147483647;2147483647;2147483647;2147483647;2147483647
zipkin;;zipkin2.EndpointBenchmarks.parseIpv4_literal;;0.03;0.31530514019679795;0.26381842853283777;0.2790082352398766;0.5780439224574597;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647
zipkin;;zipkin2.codec.JsonCodecBenchmarks.bytes_zipkinDecoder;;0.03;0.033221907819523666;0.031394169718040627;0.024710371887645882;0.043171432540975906;4;2147483647;2147483647;2147483647;2147483647;2147483647
zipkin;;zipkin2.codec.JsonCodecBenchmarks.bytebuffer_jacksonDecoder;;0.03;0.032046495585250426;0.019277176952314314;0.022860511376203322;0.03547151032121671;3;2147483647;2147483647;2147483647;2147483647;2147483647
zipkin;;zipkin2.codec.ProtoCodecBenchmarks.bytes_zipkinDecoder;;0.03;0.08083678325998263;0.057622806500256855;0.04703944429823823;0.07574679811806752;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647
