project;commit;benchmark;params;f1;f2;f3;f4;f5
zipkin;;zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1;;20;12;11;11;13
zipkin;;zipkin2.SpanBenchmarks.buildClientSpan_longs;;28;9;11;8;14
zipkin;;zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder;;30;41;16;27;39
zipkin;;zipkin2.internal.ReadBufferBenchmarks.readLong_8arity;;9;13;14;13;13
zipkin;;zipkin2.elasticsearch.internal.BulkRequestBenchmarks.buildAndWriteRequest_tenSpans;;15;21;15;26;26
zipkin;;zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V2;;25;28;23;18;19
zipkin;;zipkin2.codec.ProtoCodecBenchmarks.bytes_protobufDecoder;;17;18;15;21;21
zipkin;;zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory;;15;7;9;13;13
zipkin;;zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2;;12;20;14;20;16
zipkin;;zipkin2.EndpointBenchmarks.parseIpv4_bytes;;12;14;13;24;32
zipkin;;zipkin2.internal.ReadBufferBenchmarks.readLong_localArray;;10;17;34;11;10
zipkin;;zipkin2.codec.JsonCodecBenchmarks.bytebuffer_zipkinDecoder;;22;20;32;14;15
zipkin;;zipkin2.internal.ReadBufferBenchmarks.readLongReverseBytes;;11;15;11;11;7
zipkin;;zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory;;10;9;11;13;23
zipkin;;zipkin2.EndpointBenchmarks.parseIpv6_literal;;8;24;11;14;17
zipkin;;zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese_jdk;;14;17;14;9;10
zipkin;;zipkin2.EndpointBenchmarks.parseIpv6_addr;;11;22;10;14;11
zipkin;;zipkin2.EndpointBenchmarks.parseIpv4_addr;;12;2147483647;27;12;14
zipkin;;zipkin2.codec.CodecBenchmarks.readChineseSpan_PROTO3;;10;16;12;10;23
zipkin;;zipkin2.EndpointBenchmarks.parseIpv4_literal;;28;32;13;13;39
zipkin;;zipkin2.codec.JsonCodecBenchmarks.bytes_zipkinDecoder;;28;24;19;14;19
zipkin;;zipkin2.codec.JsonCodecBenchmarks.bytebuffer_jacksonDecoder;;22;12;22;23;18
zipkin;;zipkin2.codec.ProtoCodecBenchmarks.bytes_zipkinDecoder;;24;28;20;19;22
zipkin;;zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3;;13;17;22;15;15
zipkin;;zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory;;15;8;20;21;19
zipkin;;zipkin2.codec.CodecBenchmarks.writeTenClientSpans_JSON_V2;;40;32;41;38;39
zipkin;;zipkin2.codec.CodecBenchmarks.readClientSpan_PROTO3;;24;20;11;10;15
zipkin;;zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_64;;15;28;12;18;10
zipkin;;zipkin2.internal.ReadBufferBenchmarks.readLong_8arity_localArray;;8;13;14;13;6
zipkin;;zipkin2.elasticsearch.internal.BulkRequestBenchmarks.writeRequest_singleSpan;;31;8;43;27;15
zipkin;;zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V2;;13;17;14;15;14
zipkin;;zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_randomData;;14;15;7;13;10
zipkin;;zipkin2.SpanBenchmarks.buildClientSpan;;15;16;9;13;8
zipkin;;zipkin2.SpanBenchmarks.buildClientSpan_clear;;12;30;18;10;15
zipkin;;zipkin2.EndpointBenchmarks.parseIpv6_bytes;;25;16;14;23;11
zipkin;;zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V1;;16;25;13;21;12
zipkin;;zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V2;;13;16;16;30;17
zipkin;;zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese;;9;24;15;15;22
zipkin;;zipkin2.codec.CodecBenchmarks.writeChineseSpan_THRIFT;;28;18;17;40;17
zipkin;;zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V2;;19;35;20;18;24
zipkin;;zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V1;;9;24;10;11;16
