project;commit;benchmark;params;threshold;f2;f3;f4;f5;reachedForks;reachedF1;reachedF2;reachedF3;reachedF4;reachedF5
zipkin;;zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1;;0.99;0.9902720730557991;0.9981719250779479;0.9430304197984847;0.9781969675616534;2;20;12;11;11;13
zipkin;;zipkin2.SpanBenchmarks.buildClientSpan_longs;;0.99;0.9414774389352498;0.9638459828661373;0.9811661624755262;0.9841281346627966;2147483647;28;9;11;8;14
zipkin;;zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder;;0.99;0.2686963166467372;0.9286348022299983;0.9205106426916935;0.9613807432027797;2147483647;30;41;16;27;39
zipkin;;zipkin2.internal.ReadBufferBenchmarks.readLong_8arity;;0.99;0.5637086480393727;0.6171440105631436;0.9036014706179053;0.7209976995975649;2147483647;9;13;14;13;13
zipkin;;zipkin2.elasticsearch.internal.BulkRequestBenchmarks.buildAndWriteRequest_tenSpans;;0.99;0.9669837527072271;0.9660570422840932;0.9367627935725771;0.9729862154074205;2147483647;15;21;15;26;26
zipkin;;zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V2;;0.99;0.48785323739972447;0.94208052911939;0.9800568969841684;0.9814056399836174;2147483647;25;28;23;18;19
zipkin;;zipkin2.codec.ProtoCodecBenchmarks.bytes_protobufDecoder;;0.99;0.957192413212462;0.5611134131770169;0.6662579267748112;0.9017159989045572;2147483647;17;18;15;21;21
zipkin;;zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory;;0.99;0.0;0.9287650611902861;0.9291221291515632;0.858319335703324;2147483647;15;7;9;13;13
zipkin;;zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2;;0.99;0.2704710074927727;0.4535312608651055;0.9260592047955137;0.987510751933863;2147483647;12;20;14;20;16
zipkin;;zipkin2.EndpointBenchmarks.parseIpv4_bytes;;0.99;0.2786359844619923;0.8844618909493203;0.2255139115730549;0.21496440211120463;2147483647;12;14;13;24;32
zipkin;;zipkin2.internal.ReadBufferBenchmarks.readLong_localArray;;0.99;0.545449246163555;0.8711424603147558;0.8440937420533208;0.8159308211484537;2147483647;10;17;34;11;10
zipkin;;zipkin2.codec.JsonCodecBenchmarks.bytebuffer_zipkinDecoder;;0.99;0.24222150555672467;0.9429307265707996;0.9096265620842041;0.34031223779913033;2147483647;22;20;32;14;15
zipkin;;zipkin2.internal.ReadBufferBenchmarks.readLongReverseBytes;;0.99;0.548946812496609;0.7309181541322215;0.9903037940469764;0.9859146395505647;4;11;15;11;11;7
zipkin;;zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory;;0.99;0.8487134290061104;0.9844113774753799;0.8894425778932366;0.9896099682188741;2147483647;10;9;11;13;23
zipkin;;zipkin2.EndpointBenchmarks.parseIpv6_literal;;0.99;0.4073932012839528;0.9541788587671485;0.922265514229419;0.9796968241669486;2147483647;8;24;11;14;17
zipkin;;zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese_jdk;;0.99;0.9063501612835064;0.9595532164896002;0.9917810421921199;0.9833757095457342;4;14;17;14;9;10
zipkin;;zipkin2.EndpointBenchmarks.parseIpv6_addr;;0.99;0.8726972442548578;0.9798391562684626;0.3727964925790515;0.3449957954660529;2147483647;11;22;10;14;11
zipkin;;zipkin2.EndpointBenchmarks.parseIpv4_addr;;0.99;0.7195339482527894;0.9478313329639997;0.8833083608621004;0.44823491156774703;2147483647;12;2147483647;27;12;14
zipkin;;zipkin2.codec.CodecBenchmarks.readChineseSpan_PROTO3;;0.99;0.8324001222021847;0.9773473628736229;0.9941052899196661;0.9452982205007864;4;10;16;12;10;23
zipkin;;zipkin2.EndpointBenchmarks.parseIpv4_literal;;0.99;0.8715370871022395;0.8679592390828815;0.9553377011377299;0.8631062197815608;2147483647;28;32;13;13;39
zipkin;;zipkin2.codec.JsonCodecBenchmarks.bytes_zipkinDecoder;;0.99;0.12582707149414535;0.9567008653168096;0.8987503300844365;0.6644118004580172;2147483647;28;24;19;14;19
zipkin;;zipkin2.codec.JsonCodecBenchmarks.bytebuffer_jacksonDecoder;;0.99;0.32333581179390575;0.8981749671443413;0.9384858246614237;0.6721799865701122;2147483647;22;12;22;23;18
zipkin;;zipkin2.codec.ProtoCodecBenchmarks.bytes_zipkinDecoder;;0.99;0.1882902037538885;0.8835623591222159;0.9372168326364383;0.3444910675522586;2147483647;24;28;20;19;22
zipkin;;zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3;;0.99;0.31518716265710234;0.49049659932217593;0.8879411548287133;0.9888320098105433;2147483647;13;17;22;15;15
zipkin;;zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory;;0.99;0.9980724952485688;0.9631604983355406;0.9957811185840528;0.7786419742757744;2;15;8;20;21;19
zipkin;;zipkin2.codec.CodecBenchmarks.writeTenClientSpans_JSON_V2;;0.99;0.6051527686449641;0.878077847613734;0.9027454497102955;0.9709651556936904;2147483647;40;32;41;38;39
zipkin;;zipkin2.codec.CodecBenchmarks.readClientSpan_PROTO3;;0.99;0.4353602175535111;0.5539381483102287;0.9590406993637891;0.9255115923174525;2147483647;24;20;11;10;15
zipkin;;zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_64;;0.99;0.8071429852171058;0.978605492859522;0.9912184898483096;0.9956891434526922;4;15;28;12;18;10
zipkin;;zipkin2.internal.ReadBufferBenchmarks.readLong_8arity_localArray;;0.99;0.7068842333656273;0.9415284176714809;0.973543107649874;0.9559069964597376;2147483647;8;13;14;13;6
zipkin;;zipkin2.elasticsearch.internal.BulkRequestBenchmarks.writeRequest_singleSpan;;0.99;0.8299116288928428;0.9575825365047261;0.9922967852301587;0.9801994008600903;4;31;8;43;27;15
zipkin;;zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V2;;0.99;0.8142889960636114;0.9744388246121175;0.9968533218415156;0.9260823586835136;4;13;17;14;15;14
zipkin;;zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_randomData;;0.99;0.9977562043688807;0.9939997137489394;0.9910274840781047;0.9867032947382863;2;14;15;7;13;10
zipkin;;zipkin2.SpanBenchmarks.buildClientSpan;;0.99;0.8200897128819561;0.9899878858480615;0.9863505387967203;0.9925892455417438;5;15;16;9;13;8
zipkin;;zipkin2.SpanBenchmarks.buildClientSpan_clear;;0.99;0.7480624813083436;0.8558162203633096;0.862588994141237;0.8165896208976471;2147483647;12;30;18;10;15
zipkin;;zipkin2.EndpointBenchmarks.parseIpv6_bytes;;0.99;0.06927563125202846;0.917035701971013;0.976590568896585;0.6232621305742004;2147483647;25;16;14;23;11
zipkin;;zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V1;;0.99;0.8165237184407671;0.7506881316252938;0.9644527332459178;0.608267193715613;2147483647;16;25;13;21;12
zipkin;;zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V2;;0.99;0.9037452826324996;0.9967254318938645;0.954689068986087;0.9953870001808992;3;13;16;16;30;17
zipkin;;zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese;;0.99;0.9002241048402462;0.9746953034508241;0.9626427239681088;0.9723830627280287;2147483647;9;24;15;15;22
zipkin;;zipkin2.codec.CodecBenchmarks.writeChineseSpan_THRIFT;;0.99;0.4391847651153924;0.9726400630395441;0.9252604498530681;0.9363885984024277;2147483647;28;18;17;40;17
zipkin;;zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V2;;0.99;0.9238086142739517;0.9663414019274408;0.9945762358684308;0.993687631299526;4;19;35;20;18;24
zipkin;;zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V1;;0.99;0.9365743910273563;0.961569545601462;0.9955180749502168;0.9756018199733322;4;9;24;10;11;16
zipkin;;zipkin2.codec.CodecBenchmarks.readClientSpan_THRIFT;;0.99;0.9691468512183092;0.4082187550406885;0.927927849578374;0.9556796492479261;2147483647;20;27;16;15;15
zipkin;;zipkin2.internal.WriteBufferBenchmarks.utf8SizeInBytes_chinese;;0.99;0.36723366029198845;0.8491719789267661;0.8504710345377434;0.9678211987499749;2147483647;23;13;35;37;11
zipkin;;zipkin2.codec.ProtoCodecBenchmarks.bytes_wireDecoder;;0.99;0.37977435391596054;0.9023697327159651;0.29326581783050826;0.6771181527311575;2147483647;14;27;47;29;48
zipkin;;zipkin2.elasticsearch.internal.BulkRequestBenchmarks.buildAndWriteRequest_singleSpan;;0.99;0.9049724480059306;0.9676500948591985;0.9809883342495826;0.9967581246631914;5;28;17;35;37;24
zipkin;;zipkin2.internal.ReadBufferBenchmarks.readLong;;0.99;0.8495075379065868;0.5014384332985522;0.9777020904410404;0.6673928687668741;2147483647;11;10;11;22;10
zipkin;;zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V1;;0.99;0.6988827179588835;0.9269417105075451;0.9830274370094964;0.5565791031583678;2147483647;16;14;13;23;18
zipkin;;zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_32;;0.99;0.1891587087383183;0.8984617768673405;0.6795090760468083;0.9682029547742799;2147483647;15;15;11;12;9
zipkin;;zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_protobufDecoder;;0.99;0.4958994901736503;0.8492860801857368;0.9211125100659232;0.9500371844034695;2147483647;36;27;18;34;26
zipkin;;zipkin2.codec.JsonCodecBenchmarks.bytes_moshiDecoder;;0.99;0.6615122838946337;0.2917874437416317;0.9103667199277873;0.9503472464288382;2147483647;35;16;19;15;19
zipkin;;zipkin2.codec.CodecBenchmarks.writeClientSpan_THRIFT;;0.99;0.9963761087067;0.9085992633924358;0.9839827113941682;0.8711787612061543;2;14;33;29;16;14
zipkin;;zipkin2.codec.CodecBenchmarks.readChineseSpan_THRIFT;;0.99;0.918972758424479;0.43687026743244;0.9224339775169451;0.9793551071836771;2147483647;14;12;17;19;25
zipkin;;zipkin2.codec.JsonCodecBenchmarks.bytes_jacksonDecoder;;0.99;0.9447181435423467;0.6956160623203314;0.8110980916555734;0.9735067416442309;2147483647;12;15;16;12;16
zipkin;;zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_sameData;;0.99;0.0;0.8354180746586176;0.9461872722633845;0.8569346501831426;2147483647;12;39;20;13;10
zipkin;;zipkin2.codec.CodecBenchmarks.writeChineseSpan_PROTO3;;0.99;0.445133810498974;0.767682906920204;0.9391278409502825;0.9605243467627149;2147483647;21;19;26;18;45
zipkin;;zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_wireDecoder;;0.99;0.1704394981602313;0.8497275758038182;0.9692002607482726;0.7276202340116552;2147483647;21;25;26;29;25
zipkin;;zipkin2.SpanBenchmarks.buildClientSpan_clone;;0.99;0.9487138092009368;0.9545739933548182;0.9429101222093943;0.9819868449358338;2147483647;16;22;12;20;10
zipkin;;zipkin2.SpanBenchmarks.padLeft_15Chars;;0.99;0.5578292263727186;0.9871914796605511;0.8804490885449484;0.7226246051246125;2147483647;14;12;11;12;13
zipkin;;zipkin2.SpanBenchmarks.padLeft_17Chars;;0.99;0.6502074544753268;0.9754920626428456;0.9932754326931539;0.9972057415744555;4;23;2147483647;8;17;11
zipkin;;zipkin2.SpanBenchmarks.padLeft_1Char;;0.99;0.6981969338035108;0.9791139186129008;0.6558618827385575;0.6676340206430468;2147483647;15;17;17;20;15
zipkin;;zipkin2.SpanBenchmarks.padLeft_31Chars;;0.99;0.49258914088585243;0.982926622784226;0.9958381547830547;0.997391118480748;4;13;10;12;13;16
