project;commit;benchmark;params;meanDefault;meanCov;meanCi;meanKld;ciPercentageDefault;ciPercentageCov;ciPercentageCi;ciPercentageKld;effectSizeCov;effectSizeCi;effectSizeKld;wilcoxonCov;wilcoxonCi;wilcoxonKld;ratioLowerCov;ratioUpperCov;ratioLowerCi;ratioUpperCi;ratioLowerKld;ratioUpperKld
zipkin;;zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1;;3.7900310093027896E-6;3.7694582916583395E-6;3.771376550620253E-6;3.8092362472494815E-6;0.029983773518308023;0.01826508969411585;0.026889632177953957;0.02979276310439292;0.15837963031237837;0.13460340623195363;0.10418403576684128;8.579345015290283E-84;4.9270891330805E-61;2.81432081590965E-37;0.9848337;0.9977147;0.9924784;0.9985563;0.9996636;1.002777
zipkin;;zipkin2.SpanBenchmarks.buildClientSpan_longs;;3.465029621447937E-7;3.548360489828957E-7;3.3833259601849796E-7;3.516170857315948E-7;0.06952397900220379;0.13661488993419868;0.07774170632042805;0.1519557050155198;0.054564347363305024;0.08032317177685701;0.06191839130559499;2.8188459509464437E-11;9.810332554553286E-23;4.124882941542371E-14;1.00303;1.071442;0.9762441;0.9823388;0.9759991;1.062321
zipkin;;zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder;;0.007656120324599995;0.007642326645200052;0.007645422384400059;0.0077087039474000195;0.020141381438310735;0.03113226591469487;0.02996264134712414;0.025473130228972272;0.0174073;0.1170693;0.12539168;0.03301532779700401;1.2730419804993041E-46;3.18452412410118E-53;0.9953745;1.013202;0.9948673;1.006934;1.009047;1.014025
zipkin;;zipkin2.internal.ReadBufferBenchmarks.readLong_8arity;;3.565173034607115E-8;3.567516751675506E-8;3.5646529305862995E-8;3.565256102441179E-8;0.0544084786983199;0.028918396942198627;0.058695259426498905;0.06394504383054726;0.02548634539389126;0.0060550617825105325;0.002971912909992963;0.0018016770830022676;0.458391615071034;0.7159178946876441;0.9763778;1.004223;0.9914082;1.000021;0.9914558;1.001701
zipkin;;zipkin2.elasticsearch.internal.BulkRequestBenchmarks.buildAndWriteRequest_tenSpans;;1.0529444210947725E-4;1.0549049600000038E-4;1.0420206885508436E-4;1.0590098369837E-4;0.034911329076926546;0.031230881999200783;0.011288250066934895;0.04325872319793837;0.01564455118583008;0.13596049460402906;0.021361948063114127;0.055406474207070275;3.2880221921705125E-62;0.008904350719444072;1.007037;1.012959;0.9801224;1.005694;1.007228;1.015383
zipkin;;zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V2;;1.5764020010004898E-6;1.5700039999999853E-6;1.5805069013802681E-6;1.5783700740148037E-6;0.040525221811337046;0.03792214141972316;0.036211088739429985;0.04004501636699127;0.09189768884442222;0.003063624230598996;0.012500298959241573;2.2274849593396105E-29;0.7075557907147039;0.12585308234542592;0.9995869;1.004231;0.9985146;1.002909;0.9990663;1.00086
zipkin;;zipkin2.codec.ProtoCodecBenchmarks.bytes_protobufDecoder;;0.0016148516863999842;0.0016154085369999983;0.0016311128067999956;0.0016300433241324007;0.06582290197869194;0.0642999783610003;0.06573297662902196;0.07940444980130996;0.08776518;0.02336334;0.026673187318731872;6.008531986640342E-27;0.004218523106423675;0.0010883905591998362;1.000036;1.001535;1.012536;1.016122;1.005986;1.021244
zipkin;;zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory;;4.384328432843429E-8;4.388888888889028E-8;4.3913791379139195E-8;4.380488048805019E-8;0.027494157494383283;0.03607319627183485;0.031954248221658536;0.026491972382045197;0.011120954079606381;0.006524004735707094;0.017224654758705195;0.17321966408456346;0.4243111672898908;0.034908125965707346;1.001177;1.010381;1.005904;1.010028;0.9977804;0.9998975
zipkin;;zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2;;6.504178275655103E-5;6.517829908972712E-5;6.548004000800188E-5;6.545361368410531E-5;0.020016880817768132;0.04036398249740875;0.019996494039867686;0.03013294683882968;0.04225015254126148;0.40518165645531584;0.022271694510953805;2.2939322383260947E-7;0.0;0.006385395279671559;0.9980415;1.020657;1.001134;1.011975;1.003699;1.014463
zipkin;;zipkin2.EndpointBenchmarks.parseIpv4_bytes;;1.28305441426994E-7;1.272774310448933E-7;1.2864469195263555E-7;1.2933480529907354E-7;0.6729628242245378;0.507108380301351;0.6683877692737117;0.5297260064288994;0.013632221383447619;0.010293711918448368;0.03466578288914951;0.09572976726650084;0.20804818243047474;2.240061300671151E-5;0.8764055;1.00723;0.879148;1.001726;0.8745032;1.002892
